Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts,Stat Type
Roberto Aguayo,FSU,55/55,27/30,0/0,9-Sep,9-Sep,8-Jun,4-Mar,53,136,Kicking
Ross Martin,DUKE,50/50,19/21,1-Jan,8-Aug,5-May,6-May,0/1,49,107,Kicking
Ammon Lakip,CLEM,43/44,21/28,1-Jan,8-Jul,9-Jul,10-Jun,0/0,49,106,Kicking
Ian Frye,UVA,34/35,22/27,1-Jan,10-Oct,6-Jun,7-May,0/3,47,100,Kicking
Chris Blewitt,PITT,50/51,16/21,0/0,4-Mar,7-Jun,9-Jun,1-Jan,52,98,Kicking
Harrison Butker,GT,65/66,18-Nov,0/0,5-May,7-Feb,4-Mar,2-Jan,53,98,Kicking
John Wallace,LOU,50/50,15/19,0/0,3-Mar,8-Jun,7-May,1-Jan,51,95,Kicking
Joey Slye,VT,33/34,20/28,0/0,10-Oct,8-Jun,6-Apr,0/4,49,93,Kicking
Niklas Sade,NCST,46/48,17-Dec,1-Jan,3-Mar,4-Feb,7-Jun,0/2,48,82,Kicking
Michael Badgley,MIA,34/38,14/18,0/0,7-Jun,4-Mar,5-May,0/2,48,76,Kicking
Mike Weaver,WF,19/19,15/19,0/0,4-Apr,10-Aug,3-Feb,2-Jan,50,64,Kicking
Cole Murphy,SYR,12-Nov,13/16,0/0,5-May,5-Mar,4-Mar,2-Feb,50,50,Kicking
Nick Weiler,UNC,35/37,8-May,1-Jan,4-Apr,0/2,0/1,0/0,23,50,Kicking
Joey Launceford,BC,14/18,4-Apr,1-Jan,3-Mar,0/0,0/0,0/0,28,26,Kicking
Alex Howell,BC,9-Aug,10-May,0/0,0/0,2-Feb,8-Mar,0/0,44,23,Kicking
Mike Knoll,BC,13/15,5-Mar,0/0,2-Feb,0/1,1-Jan,0/1,40,22,Kicking
Ryan Norton,SYR,9-Sep,7-Apr,0/0,3-Feb,2-Feb,0/2,0/0,38,21,Kicking
Thomas Moore,UNC,17/17,5-Jan,0/0,0/0,3-Jan,0/2,0/0,30,20,Kicking
Matt Goudis,MIA,6-Jun,6-Apr,0/0,4-Apr,0/1,0/1,0/0,24,18,Kicking
Bradley Pinion,CLEM,3-Mar,0/0,0/0,0/0,0/0,0/0,0/0,0,3,Kicking
Corbin Jenkins,CLEM,0/1,0/0,0/0,0/0,0/0,0/0,0/0,0,0,Kicking
