Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Andre Williams,BC,355,"2,233",56,"2,177",6.13,80t,18,Rushing
Kevin Parks,UVA,227,"1,065",34,"1,031",4.54,61t,11,Rushing
Roderick McDowell,CLEM,189,"1,073",48,"1,025",5.42,45t,5,Rushing
Devonta Freeman,FSU,173,"1,045",29,"1,016",5.87,60t,14,Rushing
Duke Johnson,MIA,145,948,28,920,6.34,59,6,Rushing
Jerome Smith,SYR,200,953,39,914,4.57,66t,12,Rushing
David Sims,GT,161,885,1,884,5.49,39t,11,Rushing
James Conner,PITT,146,826,27,799,5.47,45,8,Rushing
Isaac Bennett,PITT,171,841,44,797,4.66,45t,7,Rushing
Brandon Ross,MD,166,865,89,776,4.67,36,4,Rushing
Shadrach Thornton,NCST,165,801,33,768,4.65,72t,4,Rushing
Robert Godhigh,GT,79,785,41,744,9.42,65t,7,Rushing
Karlos Williams,FSU,91,748,18,730,8.02,65t,11,Rushing
Trey Edmunds,VT,166,709,34,675,4.07,77t,10,Rushing
Josh Snead,DUKE,107,670,19,651,6.08,56,2,Rushing
C.J. Brown,MD,140,772,196,576,4.11,64,12,Rushing
James Wilder Jr.,FSU,81,579,16,563,6.95,49,8,Rushing
Jela Duncan,DUKE,113,573,11,562,4.97,20,3,Rushing
Dallas Crawford,MIA,137,616,58,558,4.07,35,12,Rushing
Marquise Williams,UNC,111,578,42,536,4.83,28,6,Rushing
T.J. Logan,UNC,93,545,12,533,5.73,63t,4,Rushing
Vad Lee,GT,182,681,168,513,2.82,21,8,Rushing
Terrel Hunt,SYR,106,610,110,500,4.72,29,7,Rushing
Zach Laskey,GT,84,487,2,485,5.77,33t,7,Rushing
Josh Harris,WF,125,507,37,470,3.76,28,4,Rushing
Prince-Tyson Gulley,SYR,83,485,29,456,5.49,67,4,Rushing
Tajh Boyd,CLEM,154,634,234,400,2.6,48t,10,Rushing
Juwan Thompson,DUKE,64,355,7,348,5.44,41,1,Rushing
Myles Willis,BC,60,356,10,346,5.77,38t,2,Rushing
Shaquille Powell,DUKE,62,347,3,344,5.55,33t,2,Rushing
Logan Thomas,VT,162,578,234,344,2.12,26,4,Rushing
Gus Edwards,MIA,66,346,8,338,5.12,29,5,Rushing
Brandon Connette,DUKE,101,381,44,337,3.34,37,14,Rushing
George Morris III,SYR,79,346,12,334,4.23,23,1,Rushing
Khalek Shepherd,UVA,51,315,11,304,5.96,45t,1,Rushing
A.J. Blue,UNC,74,312,14,298,4.03,16,1,Rushing
Romar Morris,UNC,69,317,21,296,4.29,41,5,Rushing
Albert Reid,MD,70,320,26,294,4.2,38,2,Rushing
Devante McFarlane,SYR,48,302,10,292,6.08,56,1,Rushing
J.C. Coleman,VT,84,299,15,284,3.38,13,1,Rushing
Brandon Mitchell,NCST,91,353,79,274,3.01,19,2,Rushing
Matt Dayes,NCST,63,265,13,252,4,42t,4,Rushing
Zac Brooks,CLEM,48,251,5,246,5.12,27,2,Rushing
Tanner Price,WF,123,451,211,240,1.95,16,5,Rushing
Khris Francis,UNC,63,254,18,236,3.75,28t,1,Rushing
Justin Thomas,GT,33,247,13,234,7.09,50t,2,Rushing
Jameis Winston,FSU,88,412,193,219,2.49,21,4,Rushing
Anthony Boone,DUKE,66,284,70,214,3.24,23t,5,Rushing
D.J. Howard,CLEM,57,231,18,213,3.74,20,2,Rushing
David Watford,UVA,104,373,165,208,2,27t,3,Rushing
Eduardo Clements,MIA,30,194,0,194,6.47,28,0,Rushing
Taquan Mizzell,UVA,45,196,12,184,4.09,36,1,Rushing
Ryan Green,FSU,33,180,17,163,4.94,34,1,Rushing
Pete Thomas,NCST,72,292,129,163,2.26,38,2,Rushing
Bryant Shirreffs,NCST,34,162,4,158,4.65,28t,1,Rushing
C.J. Davidson,CLEM,34,156,1,155,4.56,22,4,Rushing
Broderick Snoddy,GT,24,155,5,150,6.25,27,0,Rushing
Jacquille Veii,MD,39,171,25,146,3.74,26,0,Rushing
Daniel Hamm,UVA,23,142,1,141,6.13,12t,2,Rushing
Chris Mangus,VT,26,148,7,141,5.42,76t,1,Rushing
Dennis Andrews,GT,12,146,6,140,11.67,45,0,Rushing
Dominique Gibson,WF,53,166,28,138,2.6,18,1,Rushing
Rachid Ibrahim,PITT,27,139,3,136,5.04,32,0,Rushing
Bryan Underwood,NCST,12,135,0,135,11.25,36,0,Rushing
Tony Creecy,NCST,42,152,27,125,2.98,21,1,Rushing
Tyler Rouse,BC,26,127,2,125,4.81,29t,2,Rushing
