Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Josh Parris,SYR,1,1,1,0,1,0,Kickoff Return
Rob Burns,UVA,0,0,0,1,0,0,Kickoff Return
Eric Ebron,UNC,0,0,0,1,0,0,Kickoff Return
Bobby Wolford,BC,0,0,0,3,0,0,Kickoff Return
Dan Crimmins,BC,1,0,0,0,0,0,Kickoff Return
Tim Joy,BC,1,0,0,0,0,0,Kickoff Return
Nigel King,MD,1,0,0,0,0,0,Kickoff Return
Canaan Severin,UVA,1,0,0,0,0,0,Kickoff Return
P.J. Gallo,MD,1,-1,-1,1,0,0,Kickoff Return
Willie Byrn,VT,1,-2,-2,0,0,0,Kickoff Return
Dan Beilinson,DUKE,1,-4,-4,1,0,0,Kickoff Return
