Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Greg Reid,FSU,31,742,23.94,--,--,0,Kickoff Return
Michael Campanaro,WF,28,679,24.25,--,--,0,Kickoff Return
Marcus Gilchrist,CLEM,27,639,23.67,--,--,0,Kickoff Return
Torrey Smith,MD,30,585,19.5,--,--,0,Kickoff Return
David Wilson,VT,22,584,26.55,--,--,2,Kickoff Return
B.J. Bostic,GT,28,574,20.5,--,--,0,Kickoff Return
Raynard Horne,UVA,23,573,24.91,--,--,1,Kickoff Return
T.J. Graham,NCST,29,565,19.48,--,--,0,Kickoff Return
Josh Snead,DUKE,22,483,21.95,--,--,0,Kickoff Return
Chris Givens,WF,24,435,18.12,--,--,0,Kickoff Return
Lamarcus Joyner,FSU,16,329,20.56,--,--,0,Kickoff Return
Juwan Thompson,DUKE,15,326,21.73,--,--,0,Kickoff Return
Dyrell Roberts,VT,16,310,19.38,--,--,0,Kickoff Return
Da'Norris Searcy,UNC,12,299,24.92,--,--,0,Kickoff Return
Desmond Scott,DUKE,15,287,19.13,--,--,0,Kickoff Return
Chris Fox,BC,15,281,18.73,--,--,0,Kickoff Return
DeLeon Gause,BC,13,274,21.08,--,--,0,Kickoff Return
Todd Harrelson,UNC,11,253,23,--,--,0,Kickoff Return
Andre Ellington,CLEM,7,238,34,--,--,1,Kickoff Return
Devon Brown,WF,11,232,21.09,--,--,0,Kickoff Return
Embry Peeples,GT,10,223,22.3,--,--,0,Kickoff Return
Lamar Miller,MIA,8,214,26.75,--,--,1,Kickoff Return
James Washington,NCST,9,204,22.67,--,--,0,Kickoff Return
Graig Cooper,MIA,12,202,16.83,--,--,0,Kickoff Return
Eduardo Clements,MIA,10,195,19.5,--,--,0,Kickoff Return
Storm Johnson,MIA,9,194,21.56,--,--,0,Kickoff Return
Perry Jones,UVA,12,191,15.92,--,--,0,Kickoff Return
Jayron Hosley,VT,9,190,21.11,--,--,0,Kickoff Return
Jheranie Boyd,UNC,8,176,22,--,--,0,Kickoff Return
Bobby Swigert,BC,7,163,23.29,--,--,0,Kickoff Return
Conner Vernon,DUKE,6,143,23.83,--,--,0,Kickoff Return
Patrick Kurunwune,DUKE,7,140,20,--,--,0,Kickoff Return
Daniel McKayhan,GT,6,138,23,--,--,0,Kickoff Return
Torrey Mack,UVA,7,138,19.71,--,--,0,Kickoff Return
Andre Williams,BC,8,119,14.88,--,--,0,Kickoff Return
Orwin Smith,GT,7,117,16.71,--,--,0,Kickoff Return
Matt Merletti,UNC,5,91,18.2,--,--,0,Kickoff Return
Kris Burd,UVA,1,74,74,--,--,0,Kickoff Return
Dexter McDougle,MD,5,71,14.2,--,--,0,Kickoff Return
Terrence Fells-Danzer,UVA,2,70,35,--,--,1,Kickoff Return
Alex Amidon,BC,4,68,17,--,--,0,Kickoff Return
Lovell Jackson,WF,3,67,22.33,--,--,0,Kickoff Return
Shakim Phillips,BC,4,63,15.75,--,--,0,Kickoff Return
Marquan Jones,CLEM,4,62,15.5,--,--,0,Kickoff Return
Trenton Hughes,MD,3,57,19,--,--,0,Kickoff Return
Rashad Carmichael,VT,3,52,17.33,--,--,0,Kickoff Return
Tony Logan,MD,2,46,23,--,--,0,Kickoff Return
Shaun Draughn,UNC,3,45,15,--,--,0,Kickoff Return
Lonnie Pryor,FSU,6,43,7.17,--,--,0,Kickoff Return
Dontae Johnson,NCST,3,40,13.33,--,--,0,Kickoff Return
Avery Graham,MD,2,38,19,--,--,0,Kickoff Return
Jamie Harper,CLEM,4,34,8.5,--,--,0,Kickoff Return
Da'Rel Scott,MD,2,33,16.5,--,--,0,Kickoff Return
Chris Thompson,FSU,2,33,16.5,--,--,0,Kickoff Return
DeAndre Hopkins,CLEM,2,32,16,--,--,0,Kickoff Return
Travis Benjamin,MIA,1,31,31,--,--,0,Kickoff Return
Keith Payne,UVA,1,22,22,--,--,0,Kickoff Return
Curtis Byrd,UNC,2,22,11,--,--,0,Kickoff Return
Matt Furstenburg,MD,2,21,10.5,--,--,0,Kickoff Return
Lee Butler,DUKE,1,20,20,--,--,0,Kickoff Return
Taylor Watson,MD,1,20,20,--,--,0,Kickoff Return
David Amerson,NCST,1,17,17,--,--,0,Kickoff Return
Monte Gaddis,MD,1,16,16,--,--,0,Kickoff Return
Steve Greer,UVA,1,15,15,--,--,0,Kickoff Return
Ryan Lindsey,BC,1,15,15,--,--,0,Kickoff Return
Ryan Schlothauer,MD,1,15,15,--,--,0,Kickoff Return
Anthony Elzy,UNC,2,15,7.5,--,--,0,Kickoff Return
Curtis Underwood,NCST,2,15,7.5,--,--,0,Kickoff Return
Taylor Gentry,NCST,1,14,14,--,--,0,Kickoff Return
Corey Mosley,UVA,1,14,14,--,--,0,Kickoff Return
Chad Diehl,CLEM,1,13,13,--,--,0,Kickoff Return
Patrick Hill,MIA,1,13,13,--,--,0,Kickoff Return
Devonte Campbell,MD,1,12,12,--,--,0,Kickoff Return
Bert Reed,FSU,1,12,12,--,--,0,Kickoff Return
Christian Wilson,UNC,1,12,12,--,--,0,Kickoff Return
Spencer Bishop,WF,2,12,6,--,--,0,Kickoff Return
Aldarius Johnson,MIA,1,11,11,--,--,0,Kickoff Return
Kenny Anunike,DUKE,1,10,10,--,--,0,Kickoff Return
Cooper Helfet,DUKE,1,10,10,--,--,0,Kickoff Return
Joe Torchia,UVA,1,10,10,--,--,0,Kickoff Return
Vince Williams,FSU,1,10,10,--,--,0,Kickoff Return
Kylan Robinson,MIA,1,5,5,--,--,0,Kickoff Return
Albert Rocker,GT,2,5,2.5,--,--,0,Kickoff Return
Hunter Furr,UNC,1,4,4,--,--,0,Kickoff Return
Billy Flutie,BC,1,0,0,--,--,0,Kickoff Return
Luke Kuechly,BC,1,0,0,--,--,0,Kickoff Return
Brian Oden,UVA,1,0,0,--,--,0,Kickoff Return
Willie Dixon V,WF,1,-5,-5,--,--,0,Kickoff Return
