Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type
Jayron Hosley,VT,9,110,12.22,--,0,34,5,39,0,0,Defense
Chase Minnifield,UVA,6,80,13.33,--,0,34,14,48,0.5,4,Defense
Donnie Fletcher,BC,5,49,9.8,--,0,43,13,56,0,0,Defense
Davon Morgan,VT,5,119,23.8,--,0,53,29,82,0,0,Defense
Adrian Moten,MD,4,0,0,--,0,31,46,77,2.5,21,Defense
Mike Harris,FSU,4,12,3,--,0,33,8,41,0,0,Defense
Mark Herzlich,BC,4,17,4.25,--,0,50,15,65,0,0,Defense
DeAndre McDaniel,CLEM,4,33,8.25,--,0,44,32,76,0,0,Defense
Xavier Rhodes,FSU,4,40,10,--,0,49,9,58,2,9,Defense
Da'Norris Searcy,UNC,4,53,13.25,--,1,22,15,37,0,0,Defense
Brandan Bishop,NCST,4,54,13.5,--,0,32,34,66,0,0,Defense
Jim Noel,BC,4,79,19.75,--,1,27,9,36,0,0,Defense
Rashad Carmichael,VT,4,87,21.75,--,1,31,9,40,0,0,Defense
Vaughn Telemaque,MIA,3,0,0,--,0,32,26,58,0,0,Defense
Ryan Hill,MIA,3,2,0.67,--,0,29,22,51,0,0,Defense
Antwine Perez,MD,3,11,3.67,--,0,47,27,74,1,9,Defense
Ross Cockrell,DUKE,3,15,5,--,0,37,23,60,0,0,Defense
Greg Reid,FSU,3,28,9.33,--,0,54,11,65,0,0,Defense
Luke Kuechly,BC,3,31,10.33,--,0,110,73,183,1.5,6,Defense
Ray Ray Armstrong,MIA,3,41,13.67,--,1,44,35,79,0,0,Defense
Eric Franklin,MD,3,57,19,--,0,9,14,23,0,0,Defense
Alex Frye,WF,3,72,24,--,1,38,17,55,0,0,Defense
Kenny Tate,MD,3,81,27,--,1,58,42,100,3.5,30,Defense
Jerrard Tarrant,GT,3,93,31,--,1,31,27,58,0,0,Defense
Zach Brown,UNC,3,113,37.67,--,0,47,25,72,0,0,Defense
Byron Maxwell,CLEM,2,0,0,--,0,31,13,44,0,0,Defense
Matt Merletti,UNC,2,1,0.5,--,0,24,13,37,0,0,Defense
Kenny Okoro,WF,2,1,0.5,--,0,32,7,39,0,0,Defense
Kendric Burney,UNC,2,11,5.5,--,0,19,11,30,0,0,Defense
Rodney McLeod,UVA,2,16,8,--,0,25,29,54,0,0,Defense
Eddie Whitley,VT,2,19,9.5,--,0,55,25,80,0,0,Defense
Kevin Reddick,UNC,2,22,11,--,1,48,26,74,1,9,Defense
Jeron Gouveia-Winslow,VT,2,24,12,--,1,23,18,41,0,0,Defense
Daniel Mack,WF,2,33,16.5,--,0,21,24,45,0,0,Defense
Rashard Hall,CLEM,2,52,26,--,1,35,27,62,0,0,Defense
