Team,Rec,Yds,Avg,Lg,TD,Stat Type,,,Year,Team,Total_Receptions,Tot_Rec_Yds,Avg_Yds,Longest_Receipt,Total_TD,Stat_Type
BC,17,233,13.71,66,2,Receiving,,,2015,BC,57,663,11.5,66,4,Receiving
BC,15,127,8.47,37,0,Receiving,,,2015,CLEM,332,4125,12.74,67,32,Receiving
BC,14,192,13.71,28,2,Receiving,,,2015,DUKE,275,3017,10.49,89,18,Receiving
BC,11,111,10.09,25,0,Receiving,,,2015,FSU,221,2854,12.09,75,19,Receiving
CLEM,93,901,9.69,51,6,Receiving,,,2015,GT,47,965,20.26,58,9,Receiving
CLEM,50,716,14.32,64,5,Receiving,,,2015,LOU,194,2886,13.7,57,21,Receiving
CLEM,40,525,13.12,34,8,Receiving,,,2015,MIA,237,3263,13.23,67,15,Receiving
CLEM,34,582,17.12,67,5,Receiving,,,2015,NCST,220,2437,11.76,83,17,Receiving
CLEM,33,492,14.91,57,5,Receiving,,,2015,PITT,180,2273,13.78,55,19,Receiving
CLEM,29,251,8.66,36,1,Receiving,,,2015,SYR,125,1499,11.94,89,16,Receiving
CLEM,22,226,10.27,39,1,Receiving,,,2015,UNC,241,3410,13.46,89,30,Receiving
CLEM,21,317,15.1,63,1,Receiving,,,2015,UVA,239,2683,10.79,80,20,Receiving
CLEM,10,115,11.5,33,0,Receiving,,,2015,VT,213,"2,822",11.97,75,24,Receiving
DUKE,52,643,12.37,43,5,Receiving,,,2015,WF,218,2597,11.36,78,13,Receiving
DUKE,43,571,13.28,59,2,Receiving,,,,,,,,,,
DUKE,35,212,6.06,24,2,Receiving,,,,,,,,,,
DUKE,34,411,12.09,44,2,Receiving,,,,,,,,,,
DUKE,32,475,14.84,52,1,Receiving,,,,,,,,,,
DUKE,21,183,8.71,18,2,Receiving,,,,,,,,,,
DUKE,19,207,10.89,89,1,Receiving,,,,,,,,,,
DUKE,15,122,8.13,25,3,Receiving,,,,,,,,,,
DUKE,13,104,8,17,0,Receiving,,,,,,,,,,
DUKE,11,89,8.09,18,0,Receiving,,,,,,,,,,
FSU,59,916,15.53,75,7,Receiving,,,,,,,,,,
FSU,58,622,10.72,51,3,Receiving,,,,,,,,,,
FSU,57,798,14,70,6,Receiving,,,,,,,,,,
FSU,24,244,10.17,36,1,Receiving,,,,,,,,,,
FSU,14,210,15,37,2,Receiving,,,,,,,,,,
FSU,9,64,7.11,17,0,Receiving,,,,,,,,,,
GT,24,520,21.67,58,4,Receiving,,,,,,,,,,
GT,12,178,14.83,34,2,Receiving,,,,,,,,,,
GT,11,267,24.27,50,3,Receiving,,,,,,,,,,
LOU,33,624,16,48,5,Receiving,,,,,,,,,,
LOU,37,638,17.24,57,3,Receiving,,,,,,,,,,
LOU,29,376,12.97,55,1,Receiving,,,,,,,,,,
LOU,19,348,18.32,56,3,Receiving,,,,,,,,,,
