Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Nyheim Hines,NCST,35,920,26.29,0,100t,1,Kickoff Return
DeVon Edwards,DUKE,24,706,29.42,0,100t,3,Kickoff Return
Michael Walker,BC,24,686,28.58,0,67,0,Kickoff Return
Brisly Estime,SYR,30,665,22.17,0,37,0,Kickoff Return
Olamide Zaccheaus,UVA,28,541,19.32,0,54,0,Kickoff Return
Kermit Whitfield,FSU,19,507,26.68,0,59,0,Kickoff Return
Quadree Henderson,PITT,18,504,28,0,100t,1,Kickoff Return
T.J. Logan,UNC,21,492,23.43,1,39,0,Kickoff Return
Der'Woun Greene,VT,16,438,27.38,0,82,0,Kickoff Return
Artavis Scott,CLEM,15,371,24.73,0,44,0,Kickoff Return
Jamal Golden,GT,18,359,19.94,0,34,0,Kickoff Return
Traveon Samuel,LOU,12,321,26.75,0,100t,1,Kickoff Return
Chuck Wade,WF,17,314,18.47,0,39,0,Kickoff Return
Mark Walton,MIA,17,300,17.65,0,32,0,Kickoff Return
Corvin Lamb,LOU,16,276,17.25,0,33,0,Kickoff Return
Tyler Boyd,PITT,11,257,23.36,0,31,0,Kickoff Return
C.J. Fuller,CLEM,14,237,16.93,0,26,0,Kickoff Return
Ray Ray McCloud,CLEM,7,223,31.86,0,73,0,Kickoff Return
Marcus Marshall,GT,10,212,21.2,0,29,0,Kickoff Return
Avonte Maddox,PITT,6,182,30.33,0,89t,1,Kickoff Return
J.C. Coleman,VT,9,170,18.89,0,25,0,Kickoff Return
Corn Elder,MIA,5,169,33.8,0,91t,1,Kickoff Return
Shaun Wilson,DUKE,4,164,41,0,98t,1,Kickoff Return
Bra'Lon Cherry,NCST,4,120,30,0,47,0,Kickoff Return
Mike Hughes,UNC,3,106,35.33,0,43,0,Kickoff Return
Taquan Mizzell,UVA,7,96,13.71,0,20,0,Kickoff Return
Travon McMillian,VT,5,88,17.6,0,24,0,Kickoff Return
Dontae Strickland,SYR,4,82,20.5,0,26,0,Kickoff Return
Myles Willis,BC,3,65,21.67,0,24,0,Kickoff Return
Matt Colburn,WF,4,64,16,0,19,0,Kickoff Return
Kevin Asante,VT,4,61,15.25,0,17,0,Kickoff Return
John Armstrong,WF,3,59,19.67,0,33,0,Kickoff Return
Jalen Ramsey,FSU,2,54,27,0,37,0,Kickoff Return
Johnell Barnes,DUKE,2,51,25.5,0,26,0,Kickoff Return
Trayone Gray,MIA,3,46,15.33,0,22,0,Kickoff Return
Jordan Fredericks,SYR,2,42,21,0,25,0,Kickoff Return
Dontez Ford,PITT,2,34,17,0,17,0,Kickoff Return
T.J. Thorpe,UVA,2,32,16,0,18,0,Kickoff Return
Stacy Coley,MIA,1,31,31,0,31,0,Kickoff Return
Sherman Alston,BC,2,31,15.5,0,16,0,Kickoff Return
Milan Richard,CLEM,2,28,14,0,19,0,Kickoff Return
Lafayette Pitts,PITT,3,28,9.33,0,21,0,Kickoff Return
Rashawn Scott,MIA,1,27,27,0,27,0,Kickoff Return
Joseph Ajeigbe,DUKE,1,26,26,0,26,0,Kickoff Return
Tarvarus McFadden,FSU,1,26,26,0,26,0,Kickoff Return
Erich Schneider,DUKE,3,22,7.33,0,10,0,Kickoff Return
Braxton Berrios,MIA,1,20,20,0,20,0,Kickoff Return
Khris Francis,UNC,1,19,19,1,19,0,Kickoff Return
Ja'Vonn Harrison,FSU,1,19,19,0,19,0,Kickoff Return
Rodney Williams,SYR,1,18,18,0,18,0,Kickoff Return
Freddie Stevenson,FSU,2,18,9,0,18,0,Kickoff Return
Bug Howard,UNC,1,17,17,0,17,0,Kickoff Return
David Dudeck,BC,2,17,8.5,0,14,0,Kickoff Return
Johnathan Lloyd,DUKE,1,16,16,0,16,0,Kickoff Return
Jeremy Smith,LOU,2,16,8,0,16,0,Kickoff Return
George Morris III,SYR,1,15,15,0,15,0,Kickoff Return
Albert Reid,UVA,1,15,15,0,15,0,Kickoff Return
Antonio Messick,GT,1,13,13,0,13,0,Kickoff Return
Jaylen Samuels,NCST,2,13,6.5,0,13,0,Kickoff Return
Darrin Hall,PITT,1,12,12,0,12,0,Kickoff Return
Malin Jones,LOU,1,12,12,0,12,0,Kickoff Return
Romar Morris,UNC,1,12,12,0,12,0,Kickoff Return
Zach Boden,DUKE,1,9,9,0,9,0,Kickoff Return
Ryan Switzer,UNC,1,8,8,0,8,0,Kickoff Return
Tyler Rouse,BC,1,7,7,0,7,0,Kickoff Return
Ryan Smith,DUKE,1,7,7,0,7,0,Kickoff Return
Hunter Renfrow,CLEM,1,6,6,0,6,0,Kickoff Return
Dan Mastromatteo,UNC,3,6,2,0,3,0,Kickoff Return
Brant Mitchell,GT,1,5,5,0,5,0,Kickoff Return
Chris Peace,UVA,1,5,5,0,5,0,Kickoff Return
Quinshad Davis,UNC,1,3,3,0,3,0,Kickoff Return
Gavin Locklear,NCST,1,2,2,0,2,0,Kickoff Return
Dallas Crawford,MIA,1,1,1,0,6,0,Kickoff Return
Mikell Lands-Davis,GT,1,1,1,0,1,0,Kickoff Return
Zach Allen,BC,0,0,0,1,0,0,Kickoff Return
Charles Argenzio,WF,0,0,0,1,0,0,Kickoff Return
Alex Bachman,WF,0,0,0,1,0,0,Kickoff Return
Cole Hikutini,LOU,0,0,0,1,0,0,Kickoff Return
Kyle Kleinberg,SYR,0,0,0,2,0,0,Kickoff Return
Braxton Deaver,DUKE,1,0,0,0,0,0,Kickoff Return
Standish Dobard,MIA,1,0,0,0,0,0,Kickoff Return
A.J. Gray,GT,1,0,0,0,0,0,Kickoff Return
Cameron MacPherson,SYR,1,0,0,0,0,0,Kickoff Return
Tyre Brady,MIA,0,-8,0,0,0,0,Kickoff Return
Jaquan Johnson,MIA,0,-11,0,0,0,0,Kickoff Return
