Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Jordan Ellis,UVA,24,84,10,74,3.08,39t,2,Rushing
Darius Wade,BC,22,111,38,73,3.32,17,0,Rushing
Richard Wilson,BC,25,77,4,73,2.92,16,1,Rushing
Braxton Berrios,MIA,4,72,0,72,18,60,0,Rushing
Johnathan Alston,NCST,4,68,0,68,17,33,0,Rushing
Jacob Hill,SYR,18,75,7,68,3.78,14,0,Rushing
Brady Swilling,GT,13,68,1,67,5.15,27,1,Rushing
John Wolford,WF,73,273,206,67,0.92,70t,3,Rushing
Romar Morris,UNC,10,64,0,64,6.4,15,1,Rushing
Traveon Samuel,LOU,5,63,1,62,12.4,21,0,Rushing
C.J. Davidson,CLEM,22,76,16,60,2.73,11,0,Rushing
TaQuon Marshall,GT,8,66,8,58,7.25,18,0,Rushing
Ty'Son Williams,UNC,19,60,3,57,3,8,0,Rushing
Thaddius Smith,BC,9,56,0,56,6.22,18,0,Rushing
Dwayne Lawson,VT,14,60,5,55,3.93,10,1,Rushing
Caleb Henderson,UNC,5,53,0,53,10.6,21,0,Rushing
Isaiah Ford,VT,7,51,0,51,7.29,10,0,Rushing
Mikell Lands-Davis,GT,19,71,20,51,2.68,14,0,Rushing
Shai McKenzie,VT,13,51,1,50,3.85,11,0,Rushing
Ray Ray McCloud,CLEM,7,50,2,48,6.86,15,0,Rushing
