Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type
Robert Caldwell,NCST,1,7,7,7,0,44,61,105,2,16,Defense
Steven Daniels,BC,1,8,8,8,0,54,34,88,3,5,Defense
A.J. Marshall,WF,1,9,9,9,0,31,11,42,0,0,Defense
Darien Rankin,UNC,1,12,12,12,0,8,5,13,0,0,Defense
Brandon Watts,GT,1,12,12,12,0,42,24,66,2.5,21,Defense
Kacy Rodgers II,MIA,1,14,14,14,0,10,8,18,1,15,Defense
Deondre Singleton,DUKE,1,14,14,14,0,40,22,62,0,0,Defense
Sean Sylvia,BC,1,14,14,14,0,44,24,68,0,0,Defense
Christian Jones,FSU,1,15,15,15,0,32,24,56,2,3,Defense
Dominique Williams,BC,1,16,16,16,0,44,21,65,0,0,Defense
Corey Crawford,CLEM,1,18,18,18,0,27,16,43,2,10,Defense
Jason Hendricks,PITT,1,19,19,19,0,55,30,85,0,0,Defense
Steele Divitto,BC,1,20,20,20,0,54,58,112,3,13,Defense
Alonzo Highsmith Jr.,MIA,1,20,20,20,0,10,13,23,1,4,Defense
Jeremi Wilkes,SYR,1,21,21,21,0,26,10,36,0,0,Defense
Jabari Hunt-Days,GT,1,24,24,24,0,31,14,45,2.5,15,Defense
Garett Patterson,DUKE,1,24,24,24,0,15,12,27,0,0,Defense
Tyler Hunter,FSU,1,27,27,27,0,7,1,8,0,0,Defense
A.J. Hendy,MD,1,28,28,28t,1,20,12,32,0,0,Defense
