Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts,Stat Type
Roberto Aguayo,FSU,94/94,21/22,0/0,10-Oct,2-Feb,9-Aug,1-Jan,53,157,Kicking
Brad Craddock,MD,37/38,21/25,0/0,8-Aug,9-Aug,5-Apr,3-Jan,50,100,Kicking
Nate Freese,BC,40/41,20/20,1-Jan,7-Jul,6-Jun,4-Apr,2-Feb,52,100,Kicking
Chandler Catanzaro,CLEM,60/61,13/14,0/0,5-Apr,5-May,3-Mar,1-Jan,51,99,Kicking
Ross Martin,DUKE,58/58,13/19,1-Jan,4-Apr,7-May,4-Jan,3-Feb,53,97,Kicking
Matt Goudis,MIA,57/57,13/17,0/0,5-Apr,7-Jul,5-Feb,0/0,49,96,Kicking
Thomas Moore,UNC,46/48,14/19,0/0,7-Jul,7-Jun,5-Jan,0/0,40,88,Kicking
Niklas Sade,NCST,31/31,19/23,1-Jan,9-Sep,5-Apr,7-May,0/1,48,88,Kicking
Harrison Butker,GT,53/54,14-Oct,0/0,1-Jan,6-Apr,7-May,0/0,49,83,Kicking
Chris Blewitt,PITT,40/41,14/18,0/0,7-Jun,5-Mar,6-May,0/0,47,82,Kicking
Ryan Norton,SYR,27/29,15-Oct,1-Jan,1-Jan,7-May,6-Mar,0/0,44,57,Kicking
Cody Journell,VT,24/26,16-Oct,0/0,3-Feb,5-Mar,7-Apr,1-Jan,56,54,Kicking
Chad Hedlund,WF,26/26,12-Aug,0/0,4-Mar,5-Apr,0/1,2-Jan,51,50,Kicking
Alec Vozenilek,UVA,14/15,15-Dec,1-Jan,6-Jun,4-Apr,4-Jan,0/0,40,50,Kicking
Ian Frye,UVA,10-Oct,4-Mar,0/0,0/0,3-Feb,0/0,1-Jan,53,19,Kicking
Eric Kristensen,VT,4-Apr,5-Apr,0/0,1-Jan,4-Mar,0/0,0/0,38,16,Kicking
Ammon Lakip,CLEM,6-Jun,2-Jan,0/0,0/0,0/1,1-Jan,0/0,41,9,Kicking
Ross Krautman,SYR,5-Apr,2-Jan,0/0,0/0,1-Jan,0/1,0/0,32,7,Kicking
Michael Branthover,VT,1-Jan,2-Jan,0/0,1-Jan,0/0,0/1,0/0,22,4,Kicking
Andrew Chau,GT,4-Apr,0/0,0/0,0/0,0/0,0/0,0/0,0,4,Kicking
Cody Johnson,UNC,3-Mar,0/0,0/0,0/0,0/0,0/0,0/0,0,3,Kicking
Ethan Keyserling,VT,3-Mar,0/3,0/0,0/0,0/2,0/0,0/1,0,3,Kicking
David Scully,GT,3-Mar,0/0,0/0,0/0,0/0,0/0,0/0,0,3,Kicking
Jonathan Fisher,SYR,2-Jan,0/0,0/0,0/0,0/0,0/0,0/0,0,1,Kicking
