age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_4,ethnicity,hours,work_location,income,educational_attainment,occupation
2,1,1,2,1,0,6,8,2,1,3,5
0,1,2,2,1,1,5,27,2,1,3,3
0,1,2,2,1,1,6,34,2,0,2,6
1,1,1,0,2,1,5,5,2,1,3,2
3,1,0,0,1,1,6,5,2,1,1,10
1,1,2,1,1,1,6,5,3,3,3,8
1,1,2,1,1,1,1,4,2,0,2,3
1,2,2,2,2,1,6,20,2,2,2,2
0,1,1,2,1,1,6,3,2,0,2,1
1,2,2,2,1,1,6,3,2,2,2,8
1,1,2,2,2,1,6,48,3,1,3,1
1,3,2,1,0,0,5,6,2,2,3,5
1,2,2,2,1,1,6,8,2,0,2,5
1,2,1,2,2,1,2,20,2,2,2,7
1,1,0,2,1,1,6,2,2,2,3,3
1,2,2,1,1,1,6,9,2,0,3,5
1,2,1,1,1,1,1,32,2,1,2,2
0,1,2,2,2,1,5,56,2,2,2,2
4,3,1,1,1,1,2,12,2,0,3,4
0,1,2,2,1,1,6,40,2,1,1,5
2,2,1,2,1,1,2,4,2,0,2,7
1,2,2,1,1,1,4,30,2,3,2,9
0,1,1,2,2,1,1,8,2,1,2,4
1,1,1,0,1,1,4,5,2,0,2,1
0,1,2,2,1,1,6,3,2,0,2,1
1,1,1,2,1,1,2,30,2,2,3,7
0,2,2,2,0,1,6,20,2,0,3,8
0,2,1,1,2,1,6,60,2,0,2,5
0,2,1,1,2,1,6,60,2,0,2,5
1,1,2,2,1,1,3,40,2,2,2,3
0,2,2,1,2,1,1,5,2,1,1,2
0,2,2,2,2,1,6,6,2,0,1,6
1,1,1,2,1,1,1,7,2,0,3,4
1,1,2,2,1,1,6,35,2,3,3,5
0,2,2,2,2,1,6,40,3,0,2,2
1,1,1,1,1,1,1,3,2,1,2,7
1,2,1,2,1,0,6,30,2,1,2,6
1,1,2,2,1,1,3,40,2,2,2,2
1,2,2,2,0,0,6,30,3,1,3,1
1,1,0,1,0,1,3,8,2,1,2,7
1,2,2,2,1,1,6,10,2,0,1,5
1,1,2,2,2,1,1,10,2,3,3,4
1,2,2,1,0,1,6,20,2,1,2,3
1,2,2,1,0,1,6,20,2,1,2,3
0,2,1,1,2,1,6,60,2,0,2,5
1,2,2,1,1,1,6,30,2,1,3,3
0,2,1,1,2,1,6,60,2,2,2,5
0,2,1,1,2,1,6,60,2,3,2,5
0,2,1,1,2,1,6,60,2,3,2,5
0,2,1,1,2,1,6,60,2,0,2,5
0,1,1,2,1,1,3,10,2,1,2,3
0,2,1,0,1,1,6,35,2,2,3,4
1,1,2,2,2,1,2,10,2,0,1,2
0,1,1,2,2,1,3,28,2,3,2,4
0,1,2,2,1,1,6,10,2,0,2,4
1,1,0,1,2,1,4,40,2,1,3,1
1,1,1,2,1,1,6,20,2,2,3,8
1,1,2,2,2,1,6,8,3,2,3,2
0,1,1,2,2,1,6,30,2,2,3,10
1,1,2,2,2,1,6,5,2,1,3,6
0,1,1,2,1,0,2,8,1,0,1,5
1,1,2,2,1,1,6,8,3,3,3,2
0,1,2,2,1,1,3,36,2,3,2,1
1,2,0,1,1,1,5,25,2,2,3,4
0,2,1,2,2,1,6,40,2,1,2,2
0,2,2,2,1,1,1,20,2,0,3,7
2,2,2,2,2,1,2,20,2,0,3,3
2,2,2,1,1,1,3,4,2,0,2,3
1,2,1,2,1,1,6,15,2,1,2,5
1,1,1,2,0,1,6,15,2,1,3,2
1,2,2,1,0,1,6,5,2,0,3,5
1,1,2,2,2,1,1,5,2,2,3,4
0,1,1,1,0,1,6,21,2,0,3,4
0,1,2,2,1,1,3,9,2,0,3,4
0,2,1,1,2,1,6,60,2,0,2,5
0,2,1,1,2,1,6,60,2,0,2,5
