Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts,Stat Type
Joey Slye,VT,58/59,20/27,0/0,12-Dec,7-Jun,5-Jan,0/1,47,118,Kicking
Michael Badgley,MIA,53/55,21/26,0/0,8-Jun,7-May,9-Sep,2-Jan,51,116,Kicking
Greg Huegel,CLEM,71/73,14/19,0/0,6-May,6-Apr,7-May,0/0,47,113,Kicking
Ricky Aguayo,FSU,51/52,19/26,0/0,5-May,7-Jul,13-Jul,0/1,47,108,Kicking
Chris Blewitt,PITT,66/69,17-Oct,0/0,2-Feb,3-Feb,9-May,3-Jan,50,96,Kicking
Nick Weiler,UNC,51/52,15/21,0/0,3-Mar,8-May,5-Apr,5-Mar,54,96,Kicking
Harrison Butker,GT,46/46,15/17,0/0,4-Apr,5-Mar,7-Jul,1-Jan,52,91,Kicking
Mike Weaver,WF,28/28,21/27,0/0,4-Apr,12-Nov,10-Jun,0/1,46,91,Kicking
Blanton Creque,LOU,39/40,16/19,1-Jan,9-Sep,6-May,3-Jan,0/0,47,87,Kicking
Cole Murphy,SYR,36/39,18-Oct,0/0,0/0,6-Apr,8-May,4-Jan,51,66,Kicking
Mike Knoll,BC,27/30,14-Dec,0/0,6-Jun,6-May,2-Jan,0/0,40,63,Kicking
AJ Reed,DUKE,37/38,10-Mar,1-Jan,1-Jan,6-Jan,0/2,0/0,38,46,Kicking
Kyle Bambard,NCST,25/28,10-May,0/0,2-Feb,6-Feb,2-Jan,0/0,48,40,Kicking
Evan O'Hara,LOU,29/29,6-Mar,0/0,3-Feb,0/0,3-Jan,0/0,41,38,Kicking
Sam Hayward,UVA,19/19,8-Apr,0/0,2-Feb,4-Feb,0/2,0/0,36,31,Kicking
Connor Haskins,NCST,17/17,7-Apr,0/0,3-Feb,2-Feb,0/2,0/0,39,29,Kicking
Alex Furbank,UVA,7-Jun,2-Jan,0/0,2-Jan,0/0,0/0,0/0,23,9,Kicking
Logan Tyler,FSU,3-Mar,2-Jan,0/0,0/0,0/0,0/0,2-Jan,53,6,Kicking
Dylan Sims,UVA,5-Apr,0/0,0/0,0/0,0/0,0/0,0/0,0,4,Kicking
Colton Lichtenberg,BC,2-Feb,0/2,0/0,0/0,0/1,0/1,0/0,0,2,Kicking
Christian Groomes,CLEM,1-Jan,0/0,0/0,0/0,0/0,0/0,0/0,0,1,Kicking
