Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,Stat Type
Deshaun Watson,CLEM,491,333,67.8,"4,109",8.4,35,7.1,13,2.6,67,15,82,156.3,Passing
Brad Kaaya,MIA,390,239,61.3,"3,242",8.3,16,4.1,5,1.3,67t,16,124,142.1,Passing
Marquise Williams,UNC,356,218,61.2,"3,068",8.6,24,6.7,10,2.8,89t,16,105,150.3,Passing
Matt Johns,UVA,403,247,61.3,"2,810",7,20,5,17,4.2,80t,20,124,127.8,Passing
Jacoby Brissett,NCST,395,237,60,"2,662",6.7,20,5.1,6,1.5,83t,36,218,130.3,Passing
Thomas Sirk,DUKE,427,251,58.8,"2,624",6.1,16,3.7,8,1.9,89t,12,57,119,Passing
Nathan Peterman,PITT,313,193,61.7,"2,287",7.3,20,6.4,8,2.6,51t,25,153,139,Passing
Lamar Jackson,LOU,247,135,54.7,"1,840",7.4,12,4.9,8,3.2,56,25,180,126.8,Passing
John Wolford,WF,235,142,60.4,"1,791",7.6,9,3.8,11,4.7,58t,23,185,127.7,Passing
Everett Golson,FSU,219,147,67.1,"1,778",8.1,11,5,3,1.4,70t,18,151,149.2,Passing
Michael Brewer,VT,216,126,58.3,"1,703",7.9,13,6,7,3.2,75t,17,140,137.9,Passing
Sean Maguire,FSU,189,112,59.3,"1,520",8,11,5.8,6,3.2,75t,6,59,139.7,Passing
Justin Thomas,GT,180,75,41.7,"1,339",7.4,13,7.2,8,4.4,58,13,108,119.1,Passing
Eric Dungey,SYR,176,105,59.7,"1,298",7.4,11,6.2,5,2.8,89t,13,81,136.6,Passing
Brenden Motley,VT,163,92,56.4,"1,155",7.1,11,6.7,7,4.3,61,16,110,129.6,Passing
Kyle Bolin,LOU,137,78,56.9,"1,154",8.4,7,5.1,6,4.4,57,12,88,135.8,Passing
Kendall Hinton,WF,177,93,52.5,929,5.2,4,2.3,5,2.8,78t,17,88,98.4,Passing
Parker Boehme,DUKE,78,43,55.1,579,7.4,2,2.6,1,1.3,52,5,26,123.4,Passing
Mitch Trubisky,UNC,47,40,85.1,555,11.8,6,12.8,0,0,64t,1,8,226.4,Passing
Zack Mahoney,SYR,118,55,46.6,537,4.6,8,6.8,2,1.7,40t,7,36,103.8,Passing
John Fadule,BC,73,38,52.1,464,6.4,1,1.4,4,5.5,37,9,68,99,Passing
Troy Flutie,BC,48,24,50,382,8,3,6.2,1,2.1,66t,4,25,133.3,Passing
Malik Rosier,MIA,57,29,50.9,338,5.9,2,3.5,3,5.3,33t,3,24,101.7,Passing
Jeff Smith,BC,82,27,32.9,253,3.1,2,2.4,3,3.7,39,8,50,59.6,Passing
Darius Wade,BC,42,21,50,232,5.5,2,4.8,1,2.4,22,4,22,107.4,Passing
Reggie Bonnafon,LOU,24,14,58.3,192,8,2,8.3,1,4.2,40,6,41,144.7,Passing
Nick Schuessler,CLEM,23,13,56.5,177,7.7,0,0,1,4.3,38,1,3,112.5,Passing
Chad Voytik,PITT,25,16,64,112,4.5,1,4,1,4,55t,4,40,106.8,Passing
Matthew Jordan,GT,9,5,55.6,94,10.4,1,11.1,1,11.1,35t,2,8,157.7,Passing
Jalan McClendon,NCST,14,8,57.1,69,4.9,0,0,0,0,21,1,1,98.5,Passing
Tyler Boyd,PITT,3,2,66.7,67,22.3,0,0,0,0,38,0,0,254.3,Passing
Dwayne Lawson,VT,9,3,33.3,51,5.7,0,0,0,0,31,0,0,80.9,Passing
Austin Wilson,SYR,8,4,50,49,6.1,1,12.5,1,12.5,22,1,2,117.7,Passing
Quinshad Davis,UNC,1,1,100,37,37,1,100,0,0,37t,0,0,740.8,Passing
Deon Cain,CLEM,1,1,100,35,35,0,0,0,0,35,0,0,394,Passing
Connor Brewer,UVA,8,4,50,34,4.2,0,0,1,12.5,14,1,3,60.7,Passing
Andy Teasdall,CLEM,2,2,100,30,15,0,0,0,0,31,0,0,226,Passing
Kelly Bryant,CLEM,9,7,77.8,27,3,0,0,1,11.1,10,0,0,80.8,Passing
J.J. Cosentino,FSU,10,5,50,27,2.7,0,0,0,0,12,2,12,72.7,Passing
Herb Waters,MIA,1,1,100,26,26,0,0,0,0,26,0,0,318.4,Passing
Tim Byerly,GT,1,1,100,23,23,0,0,0,0,23,0,0,293.2,Passing
K.J. Brent,WF,1,1,100,19,19,0,0,0,0,19,0,0,259.6,Passing
Olamide Zaccheaus,UVA,1,1,100,15,15,1,100,0,0,15t,0,0,556,Passing
Isaiah Ford,VT,2,1,50,14,7,0,0,0,0,14,0,0,108.8,Passing
Sam Rogers,VT,3,1,33.3,13,4.3,0,0,0,0,13,0,0,69.7,Passing
Ryan Winslow,PITT,1,1,100,12,12,0,0,0,0,12,0,0,200.8,Passing
Ryan Switzer,UNC,2,1,50,11,5.5,0,0,0,0,11,0,0,96.2,Passing
A.J. Cole III,NCST,1,1,100,9,9,0,0,0,0,9,0,0,175.6,Passing
Sean Avant,SYR,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Caleb Henderson,UNC,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Nyheim Hines,NCST,1,0,0,0,0,0,0,0,0,0,1,2,0,Passing
Tabari Hines,WF,1,0,0,0,0,0,0,1,100,0,0,0,-200,Passing
Terrel Hunt,SYR,2,0,0,0,0,0,0,1,50,0,0,0,-100,Passing
Joey Mangili,UNC,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Taquan Mizzell,UVA,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Will Monday,DUKE,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Anthony Nash,DUKE,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Nicodem Pierre,DUKE,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Elijah Robinson,BC,0,0,0,0,0,0,0,0,0,0,1,5,0,Passing
Ryan Rodwell,GT,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Artavis Scott,CLEM,0,0,0,0,0,0,0,0,0,0,1,7,0,Passing
Cam Serigne,WF,2,0,0,0,0,0,0,1,50,0,0,0,-100,Passing
Brad Stewart,GT,1,0,0,0,0,0,0,1,100,0,0,0,-200,Passing
Dontae Strickland,SYR,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Bobby Swigert,BC,0,0,0,0,0,0,0,0,0,0,1,1,0,Passing
Shaun Wilson,DUKE,1,0,0,0,0,0,0,1,100,0,0,0,-200,Passing
Joseph Yearby,MIA,1,0,0,0,0,0,0,1,100,0,0,0,-200,Passing
Riley Dixon,SYR,1,1,100,-1,-1,0,0,0,0,0,0,0,91.6,Passing
