Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,Stat Type
Ryan Finley,NCST,484,326,67.4,"3,928",8.1,25,5.2,11,2.3,74t,11,72,148,Passing
Trevor Lawrence,CLEM,398,259,65.1,"3,280",8.2,30,7.5,4,1,74t,12,75,157.2,Passing
Eric Dungey,SYR,371,226,60.9,"2,868",7.7,18,4.9,9,2.4,82t,25,162,137,Passing
Deondre Francois,FSU,396,227,57.3,"2,731",6.9,15,3.8,12,3,78t,29,181,121.7,Passing
Ryan Willis,VT,364,213,58.5,"2,716",7.5,24,6.6,9,2.5,67t,22,151,138,Passing
Bryce Perkins,UVA,349,225,64.5,"2,680",7.7,25,7.2,9,2.6,86t,31,197,147.5,Passing
Daniel Jones,DUKE,392,237,60.5,"2,674",6.8,22,5.6,9,2.3,85t,28,172,131.7,Passing
Nathan Elliott,UNC,325,201,61.8,"2,169",6.7,11,3.4,9,2.8,80,5,42,123.5,Passing
Anthony Brown,BC,285,158,55.4,"2,121",7.4,20,7,9,3.2,71t,19,110,134.8,Passing
Sam Hartman,WF,291,161,55.3,"1,984",6.8,16,5.5,8,2.7,54t,22,146,125.2,Passing
Kenny Pickett,PITT,310,180,58.1,"1,969",6.4,12,3.9,6,1.9,78t,32,240,120.3,Passing
Jawon Pass,LOU,300,162,54,"1,960",6.5,8,2.7,12,4,53,30,194,109.7,Passing
N'Kosi Perry,MIA,191,97,50.8,"1,091",5.7,13,6.8,6,3.1,42,16,99,114.9,Passing
Jamie Newman,WF,141,84,59.6,"1,083",7.7,9,6.4,4,2.8,49,11,43,139.5,Passing
Malik Rosier,MIA,156,82,52.6,"1,053",6.8,6,3.8,8,5.1,67t,10,81,111.7,Passing
TaQuon Marshall,GT,109,48,44,900,8.3,5,4.6,4,3.7,81t,11,69,121.2,Passing
Josh Jackson,VT,58,36,62.1,575,9.9,5,8.6,1,1.7,72t,6,40,170.3,Passing
Tommy DeVito,SYR,87,44,50.6,525,6,4,4.6,3,3.4,50,11,75,109.5,Passing
James Blackman,FSU,51,33,64.7,510,10,5,9.8,1,2,73t,6,47,177.1,Passing
Malik Cunningham,LOU,67,40,59.7,473,7.1,1,1.5,1,1.5,41,7,21,120.9,Passing
Kelly Bryant,CLEM,53,35,66,456,8.6,2,3.8,1,1.9,64,4,28,147,Passing
Chase Brice,CLEM,51,32,62.7,442,8.7,5,9.8,3,5.9,61,2,19,156.1,Passing
Quentin Harris,DUKE,68,34,50,437,6.4,7,10.3,1,1.5,66t,2,12,135,Passing
Cade Fortin,UNC,65,32,49.2,388,6,1,1.5,1,1.5,51,3,20,101.4,Passing
EJ Perry,BC,39,27,69.2,277,7.1,2,5.1,0,0,38,3,20,145.8,Passing
Tobias Oliver,GT,16,7,43.8,167,10.4,2,12.5,0,0,86t,5,21,172.7,Passing
Matt McDonald,BC,8,7,87.5,118,14.8,2,25,0,0,65t,0,0,293.9,Passing
Matt McKay,NCST,8,7,87.5,87,10.9,0,0,0,0,37,0,0,178.8,Passing
Jace Ruder,UNC,5,4,80,80,16,1,20,0,0,44,0,0,280.4,Passing
Jordan Travis,LOU,14,4,28.6,71,5.1,1,7.1,1,7.1,31,3,10,80.5,Passing
Jeff Smith,BC,5,3,60,67,13.4,1,20,0,0,31,1,7,238.6,Passing
Brennan Armstrong,UVA,5,2,40,62,12.4,1,20,0,0,56t,0,0,210.2,Passing
Thayer Thomas,NCST,2,1,50,56,28,0,0,0,0,56,0,0,285.2,Passing
Chris Katrenick,DUKE,12,5,41.7,54,4.5,1,8.3,0,0,28,0,0,107,Passing
Manny Miles,UNC,4,2,50,50,12.5,1,25,0,0,38t,0,0,237.5,Passing
Dontae Strickland,SYR,1,1,100,48,48,0,0,0,0,48,0,0,503.2,Passing
Dazz Newsome,UNC,1,1,100,43,43,0,0,0,0,43,0,0,461.2,Passing
Sean McCormack,LOU,13,4,30.8,29,2.2,0,0,1,7.7,14,2,14,34.1,Passing
James Graham,GT,1,1,100,22,22,0,0,0,0,22,0,0,284.8,Passing
T.J. Rahming,DUKE,1,1,100,22,22,1,100,0,0,22t,0,0,614.8,Passing
Jarren Williams,MIA,3,1,33.3,17,5.7,0,0,0,0,17,0,0,80.9,Passing
Ricky Town,PITT,1,1,100,15,15,0,0,0,0,15,0,0,226,Passing
Cade Weldon,MIA,3,2,66.7,14,4.7,0,0,0,0,14,0,0,105.9,Passing
Deon Jackson,DUKE,1,1,100,12,12,0,0,0,0,12,0,0,200.8,Passing
Chazz Surratt,UNC,10,4,40,10,1,0,0,3,30,13,2,7,-11.6,Passing
Quincy Patterson II,VT,5,1,20,9,1.8,0,0,0,0,9,0,0,35.1,Passing
Olamide Zaccheaus,UVA,1,1,100,9,9,0,0,0,0,9,0,0,175.6,Passing
Kendall Hinton,WF,8,2,25,2,0.2,0,0,1,12.5,2,0,0,2.1,Passing
Hunter Renfrow,CLEM,2,1,50,2,1,0,0,0,0,2,0,0,58.4,Passing
Jeff George Jr.,PITT,3,1,33.3,1,0.3,0,0,0,0,1,0,0,36.1,Passing
Cam Akers,FSU,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Chatarius Atwell,LOU,0,0,0,0,0,0,0,0,0,0,1,5,0,Passing
Matthew Considine,WF,2,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Beau Corrales,UNC,1,0,0,0,0,0,0,1,100,0,0,0,-200,Passing
DeeJay Dallas,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Hasise Dubois,UVA,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Rontavius Groves,UNC,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Taj Harris,SYR,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Nykeim Johnson,SYR,1,0,0,0,0,0,0,0,0,0,1,6,0,Passing
Derion Kendrick,CLEM,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
D.J. Matthews,FSU,2,0,0,0,0,0,0,0,0,0,1,9,0,Passing
Jakobi Meyers,NCST,2,0,0,0,0,0,0,0,0,0,1,13,0,Passing
Nyqwan Murray,FSU,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Qadree Ollison,PITT,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Anthony Ratliff-Williams,UNC,2,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Amari Rodgers,CLEM,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Sean Savoy,VT,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
