Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts,Stat Type
Andre Szmyt,SYR,61/61,30/34,1-Jan,11-Oct,12-Dec,7-Apr,3-Mar,54,151,Kicking
Christopher Dunn,NCST,51/51,23/26,0/1,15/15,6-May,4-Mar,0/0,49,120,Kicking
Greg Huegel,CLEM,76/78,16-Nov,0/0,3-Mar,7-May,6-Mar,0/0,49,109,Kicking
Nick Sciba,WF,50/50,19/22,0/0,9-Aug,11-Sep,2-Feb,0/0,49,107,Kicking
Freeman Jones,UNC,31/31,18/28,0/0,6-Jun,10-Jun,11-Jun,0/1,49,85,Kicking
Brian Johnson,VT,44/44,18-Dec,0/0,4-Apr,5-May,8-Mar,0/1,45,80,Kicking
Alex Kessman,PITT,40/43,13/17,0/0,3-Mar,4-Feb,5-Apr,5-Apr,55,79,Kicking
Collin Wareham,DUKE,49/51,13-Sep,0/0,4-Mar,6-Jun,0/3,0/0,35,76,Kicking
Bubba Baxa,MIA,45/46,12-Sep,0/0,3-Feb,6-Jun,3-Jan,0/0,47,72,Kicking
Wesley Wells,GT,39/39,9-Sep,0/0,4-Apr,1-Jan,4-Apr,0/0,48,66,Kicking
Ricky Aguayo,FSU,30/31,17-Nov,0/0,2-Feb,5-Mar,8-Apr,2-Feb,53,63,Kicking
Brian Delaney,UVA,25/25,16-Dec,0/0,3-Mar,9-Jun,3-Mar,0/1,46,61,Kicking
Blanton Creque,LOU,27/30,12-Oct,0/0,4-Apr,4-Mar,3-Mar,0/1,46,57,Kicking
Colton Lichtenberg,BC,29/29,8-May,0/0,4-Mar,3-Feb,0/1,0/0,38,44,Kicking
A.J. Mejia,UVA,14/14,4-Jan,0/0,0/0,4-Jan,0/0,0/0,32,17,Kicking
John Tessitore,BC,14/18,0/0,0/0,0/0,0/0,0/0,0/0,0,14,Kicking
Brenton King,GT,11-Oct,4-Jan,0/0,0/0,1-Jan,0/1,0/2,35,13,Kicking
Hunter Pearson,UVA,6-Jun,2-Feb,0/0,2-Feb,0/0,0/0,0/0,28,12,Kicking
B.T. Potter,CLEM,7-Jul,1-Jan,0/0,1-Jan,0/0,0/0,0/0,24,10,Kicking
Danny Longman,BC,3-Mar,1-Jan,0/0,1-Jan,0/0,0/0,0/0,26,6,Kicking
Alex Spence,CLEM,5-May,0/1,0/0,0/0,0/1,0/0,0/0,0,5,Kicking
Shawn Davis,GT,5-Apr,0/0,0/0,0/0,0/0,0/0,0/0,0,4,Kicking
Jordan Stout,VT,4-Apr,0/1,0/0,0/0,0/0,0/1,0/0,0,4,Kicking
Alejandro Cardenas,MIA,2-Feb,0/0,0/0,0/0,0/0,0/0,0/0,0,2,Kicking
Zach Murphy,WF,2-Feb,0/0,0/0,0/0,0/0,0/0,0/0,0,2,Kicking
Noah Ruggles,UNC,2-Feb,0/0,0/0,0/0,0/0,0/0,0/0,0,2,Kicking
