Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Greg Reid,FSU,21,387,18.43,--,--,1,Punt Return
Jayron Hosley,VT,31,348,11.23,--,--,1,Punt Return
Da'Norris Searcy,UNC,23,335,14.57,--,--,1,Punt Return
Jerrard Tarrant,GT,21,281,13.38,--,--,2,Punt Return
C.J. Spiller,CLEM,8,210,26.25,--,--,1,Punt Return
Rich Gunnell,BC,12,164,13.67,--,--,1,Punt Return
Thearon Collier,MIA,12,158,13.17,--,--,2,Punt Return
T.J. Graham,NCST,15,156,10.4,--,--,0,Punt Return
Jacoby Ford,CLEM,10,143,14.3,--,--,1,Punt Return
Johnny Williams,DUKE,13,108,8.31,--,--,0,Punt Return
Tony Logan,MD,15,100,6.67,--,--,0,Punt Return
Chase Minnifield,UVA,20,88,4.4,--,--,0,Punt Return
Clem Johnson,NCST,7,79,11.29,--,--,0,Punt Return
Travis Benjamin,MIA,9,57,6.33,--,--,0,Punt Return
Devon Brown,WF,11,56,5.09,--,--,0,Punt Return
Kenny Tate,MD,6,43,7.17,--,--,0,Punt Return
Rashard Smith,NCST,4,39,9.75,--,--,0,Punt Return
Kendric Burney,UNC,4,37,9.25,--,--,0,Punt Return
Ras-I Dowling,UVA,0,34,0,--,--,0,Punt Return
Vic Hall,UVA,8,31,3.88,--,--,0,Punt Return
Anthony Wiseman,MD,7,25,3.57,--,--,0,Punt Return
Jacob Sykes,VT,1,24,24,--,--,0,Punt Return
Bill Schautz,UVA,0,20,0,--,--,1,Punt Return
Trey Womack,UVA,1,15,15,--,--,0,Punt Return
Jaron Brown,CLEM,2,11,5.5,--,--,0,Punt Return
Leon Wright,DUKE,4,11,2.75,--,--,0,Punt Return
Lovell Jackson,WF,1,8,8,--,--,0,Punt Return
Graig Cooper,MIA,4,8,2,--,--,0,Punt Return
Clyde Lee,BC,1,7,7,--,--,0,Punt Return
Crezdon Butler,CLEM,3,7,2.33,--,--,0,Punt Return
Jordon Byas,DUKE,1,6,6,--,--,0,Punt Return
Andre Ellington,CLEM,1,3,3,--,--,0,Punt Return
Bert Reed,FSU,1,3,3,--,--,0,Punt Return
Donald Bowens,NCST,1,2,2,--,--,0,Punt Return
Charles Brown,UNC,1,2,2,--,--,0,Punt Return
Melvin Williams,UNC,1,2,2,--,--,0,Punt Return
Matt Reidy,VT,0,1,0,--,--,1,Punt Return
Javaris Brown,UVA,1,1,1,--,--,0,Punt Return
Mister Alexander,FSU,1,0,0,--,--,0,Punt Return
DeLeon Gause,BC,1,0,0,--,--,0,Punt Return
Marcus Gilchrist,CLEM,1,0,0,--,--,0,Punt Return
Michael Wade,CLEM,1,0,0,--,--,0,Punt Return
Ryan Williams,VT,1,0,0,--,--,0,Punt Return
Matt Hartford,WF,1,-5,-5,--,--,0,Punt Return
Walt Canty,DUKE,1,-8,-8,--,--,0,Punt Return
