Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Torrey Smith,MD,51,"1,309",25.67,--,--,2,Kickoff Return
Orwin Smith,GT,37,888,24,--,--,0,Kickoff Return
C.J. Spiller,CLEM,23,755,32.83,--,--,4,Kickoff Return
Greg Reid,FSU,26,664,25.54,--,--,0,Kickoff Return
Graig Cooper,MIA,26,582,22.38,--,--,0,Kickoff Return
Dyrell Roberts,VT,18,574,31.89,--,--,1,Kickoff Return
T.J. Graham,NCST,23,574,24.96,--,--,1,Kickoff Return
Jeff Smith,BC,24,530,22.08,--,--,0,Kickoff Return
Chase Minnifield,UVA,22,513,23.32,--,--,0,Kickoff Return
Lovell Jackson,WF,21,508,24.19,--,--,0,Kickoff Return
Clem Johnson,NCST,24,489,20.38,--,--,0,Kickoff Return
Desmond Scott,DUKE,18,452,25.11,--,--,0,Kickoff Return
Johnny Williams,DUKE,20,413,20.65,--,--,0,Kickoff Return
Mike James,MIA,19,404,21.26,--,--,0,Kickoff Return
Johnny White,UNC,18,369,20.5,--,--,0,Kickoff Return
David Wilson,VT,17,325,19.12,--,--,0,Kickoff Return
Chris Givens,WF,15,320,21.33,--,--,0,Kickoff Return
Conner Vernon,DUKE,12,295,24.58,--,--,0,Kickoff Return
Perry Jones,UVA,14,241,17.21,--,--,0,Kickoff Return
Greg Little,UNC,11,222,20.18,--,--,0,Kickoff Return
Patrick Robinson,FSU,11,218,19.82,--,--,0,Kickoff Return
Da'Norris Searcy,UNC,8,185,23.12,--,--,0,Kickoff Return
Embry Peeples,GT,11,183,16.64,--,--,0,Kickoff Return
Louis Givens,FSU,7,174,24.86,--,--,0,Kickoff Return
Jacoby Ford,CLEM,9,174,19.33,--,--,0,Kickoff Return
Devon Brown,WF,7,162,23.14,--,--,0,Kickoff Return
Chris Thompson,FSU,6,150,25,--,--,0,Kickoff Return
DeLeon Gause,BC,7,144,20.57,--,--,0,Kickoff Return
James Washington,NCST,6,132,22,--,--,0,Kickoff Return
Dominick LeGrande,BC,6,128,21.33,--,--,0,Kickoff Return
Corey Mosley,UVA,7,110,15.71,--,--,0,Kickoff Return
Re'quan Boyette,DUKE,5,102,20.4,--,--,0,Kickoff Return
Chris Fox,BC,5,102,20.4,--,--,0,Kickoff Return
Chris Cook,UVA,5,101,20.2,--,--,0,Kickoff Return
Javanti Sparrow,UVA,4,95,23.75,--,--,0,Kickoff Return
Andre Ellington,CLEM,6,95,15.83,--,--,0,Kickoff Return
Dan Bonato,MD,6,90,15,--,--,0,Kickoff Return
Sam Shields,MIA,0,84,0,--,--,0,Kickoff Return
