Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Daniel McKayhan,GT,3,76,25.33,--,--,0,Kickoff Return
Donald Bowens,NCST,3,75,25,--,--,0,Kickoff Return
Davon Morgan,VT,4,74,18.5,--,--,0,Kickoff Return
Brandon Harris,MIA,2,63,31.5,--,--,0,Kickoff Return
Charles Brown,UNC,3,55,18.33,--,--,0,Kickoff Return
Vincent Zann,FSU,4,51,12.75,--,--,0,Kickoff Return
Patrick Kurunwune,DUKE,3,46,15.33,--,--,0,Kickoff Return
JaJuan Harley,FSU,3,42,14,--,--,0,Kickoff Return
Taiwan Easterling,FSU,2,40,20,--,--,0,Kickoff Return
Alex Frye,WF,1,37,37,--,--,0,Kickoff Return
Jay Hollingsworth,DUKE,2,37,18.5,--,--,0,Kickoff Return
Jimmy Graham,MIA,3,30,10,--,--,0,Kickoff Return
Anthony Allen,GT,2,29,14.5,--,--,0,Kickoff Return
Torrey Mack,UVA,2,29,14.5,--,--,0,Kickoff Return
Dan Mulrooney,BC,1,28,28,--,--,0,Kickoff Return
Jamie Harper,CLEM,2,27,13.5,--,--,0,Kickoff Return
Junior Petit-Jean,WF,1,25,25,--,--,0,Kickoff Return
Tommy Galt,MD,2,25,12.5,--,--,0,Kickoff Return
Chad Diehl,CLEM,3,25,8.33,--,--,0,Kickoff Return
Rashard Smith,NCST,1,24,24,--,--,0,Kickoff Return
Nigel Bradham,FSU,2,24,12,--,--,0,Kickoff Return
Vic Hall,UVA,2,23,11.5,--,--,0,Kickoff Return
Jamelle Eugene,NCST,3,23,7.67,--,--,0,Kickoff Return
Caleb Porzel,MD,1,22,22,--,--,0,Kickoff Return
Darryl Sharpton,MIA,2,22,11,--,--,0,Kickoff Return
Lonnie Pryor,FSU,4,21,5.25,--,--,0,Kickoff Return
Leon Wright,DUKE,1,20,20,--,--,0,Kickoff Return
Cory Jackson,MD,2,20,10,--,--,0,Kickoff Return
C.J. Washington,WF,1,19,19,--,--,0,Kickoff Return
Travis Benjamin,MIA,1,18,18,--,--,0,Kickoff Return
Kasey Nobles,CLEM,3,18,6,--,--,0,Kickoff Return
John Calhoun,MIA,2,17,8.5,--,--,0,Kickoff Return
Kris Burd,UVA,1,15,15,--,--,0,Kickoff Return
Justin Byers,NCST,1,15,15,--,--,0,Kickoff Return
Gary Douglas,MD,1,15,15,--,--,0,Kickoff Return
Mikell Simpson,UVA,1,15,15,--,--,0,Kickoff Return
Rashawn Jackson,UVA,1,13,13,--,--,0,Kickoff Return
Bobby Rome,UNC,1,13,13,--,--,0,Kickoff Return
Kenny Younger,VT,1,13,13,--,--,0,Kickoff Return
Lee Chambers,MIA,1,11,11,--,--,0,Kickoff Return
Eriks Reks,DUKE,1,10,10,--,--,0,Kickoff Return
LoVante Battle,UVA,1,9,9,--,--,0,Kickoff Return
Colter Phillips,UVA,1,9,9,--,--,0,Kickoff Return
Chris Drager,VT,2,8,4,--,--,0,Kickoff Return
Josh Bush,WF,1,7,7,--,--,0,Kickoff Return
Brandon Pendergrass,WF,1,7,7,--,--,0,Kickoff Return
Matt Dunham,FSU,2,6,3,--,--,0,Kickoff Return
Jordan Futch,MIA,1,4,4,--,--,0,Kickoff Return
Ted Randolph,WF,1,1,1,--,--,0,Kickoff Return
Aaron Clark,UVA,1,0,0,--,--,0,Kickoff Return
Luke Kuechly,BC,1,0,0,--,--,0,Kickoff Return
Quintin McCree,MD,1,0,0,--,--,0,Kickoff Return
Albert Rocker,GT,1,0,0,--,--,0,Kickoff Return
Austin Walker,MD,1,0,0,--,--,0,Kickoff Return
Patrick Slebonick,UVA,1,-2,-2,--,--,0,Kickoff Return
