Player,Team,Rec,Yds,Avg,Lg,TD,Stat Type
Donovan Varner,DUKE,65,"1,047",16.11,--,8,Receiving
Greg Little,UNC,62,724,11.68,--,5,Receiving
Devon Brown,WF,61,671,11,--,6,Receiving
Rod Owens,FSU,61,729,11.95,--,3,Receiving
Torrey Smith,MD,61,824,13.51,--,5,Receiving
Bert Reed,FSU,60,710,11.83,--,0,Receiving
Marshall Williams,WF,60,867,14.45,--,6,Receiving
Rich Gunnell,BC,60,880,14.67,--,7,Receiving
Jacoby Ford,CLEM,56,779,13.91,--,6,Receiving
Conner Vernon,DUKE,55,746,13.56,--,3,Receiving
Austin Kelly,DUKE,54,625,11.57,--,4,Receiving
Demaryius Thomas,GT,46,"1,154",25.09,--,8,Receiving
Jarvis Williams,NCST,45,547,12.16,--,11,Receiving
Jarmon Fortson,FSU,45,610,13.56,--,4,Receiving
Chris Givens,WF,45,629,13.98,--,8,Receiving
Leonard Hankerson,MIA,45,801,17.8,--,6,Receiving
Adrian Cannon,MD,44,468,10.64,--,4,Receiving
Michael Palmer,CLEM,43,507,11.79,--,4,Receiving
George Bryan,NCST,40,422,10.55,--,6,Receiving
Jarrett Boykin,VT,40,835,20.88,--,5,Receiving
Erik Highsmith,UNC,37,425,11.49,--,2,Receiving
C.J. Spiller,CLEM,36,503,13.97,--,4,Receiving
Taiwan Easterling,FSU,35,442,12.63,--,2,Receiving
Zack Pianalto,UNC,33,334,10.12,--,1,Receiving
LaRon Byrd,MIA,33,460,13.94,--,1,Receiving
Johnny Williams,DUKE,31,385,12.42,--,1,Receiving
Kris Burd,UVA,31,413,13.32,--,1,Receiving
Danny Coale,VT,30,614,20.47,--,2,Receiving
Owen Spencer,NCST,30,765,25.5,--,6,Receiving
Travis Benjamin,MIA,29,501,17.28,--,4,Receiving
Colin Larmond,BC,29,596,20.55,--,5,Receiving
Josh Adams,WF,28,307,10.96,--,0,Receiving
Ronnie Tyler,MD,28,346,12.36,--,1,Receiving
Toney Baker,NCST,28,355,12.68,--,3,Receiving
Mikell Simpson,UVA,27,236,8.74,--,1,Receiving
Richard Goodman,FSU,27,355,13.15,--,1,Receiving
Rashawn Jackson,UVA,25,222,8.88,--,0,Receiving
Chris Pantale,BC,25,223,8.92,--,1,Receiving
Darrell Davis,NCST,25,380,15.2,--,1,Receiving
Vic Hall,UVA,24,274,11.42,--,1,Receiving
Dyrell Roberts,VT,22,390,17.73,--,3,Receiving
Shaun Draughn,UNC,21,125,5.95,--,0,Receiving
Mike Rinfrette,WF,19,207,10.89,--,0,Receiving
Dedrick Epps,MIA,19,247,13,--,3,Receiving
Graig Cooper,MIA,18,132,7.33,--,1,Receiving
Desmond Scott,DUKE,18,147,8.17,--,0,Receiving
Brett Huffman,DUKE,18,167,9.28,--,3,Receiving
Justin Jarvis,BC,18,229,12.72,--,2,Receiving
Thearon Collier,MIA,18,250,13.89,--,1,Receiving
Jay Hollingsworth,DUKE,17,87,5.12,--,0,Receiving
Jermaine Thomas,FSU,17,129,7.59,--,1,Receiving
Re'quan Boyette,DUKE,17,154,9.06,--,2,Receiving
Jimmy Graham,MIA,17,213,12.53,--,5,Receiving
Jamelle Eugene,NCST,16,120,7.5,--,0,Receiving
Ryan Williams,VT,16,180,11.25,--,1,Receiving
Aldarius Johnson,MIA,16,276,17.25,--,1,Receiving
Mike James,MIA,15,105,7,--,0,Receiving
Jared Green,UVA,15,124,8.27,--,0,Receiving
Joe Torchia,UVA,15,150,10,--,2,Receiving
Tim Smith,UVA,15,204,13.6,--,2,Receiving
Jordan Williams,WF,14,112,8,--,2,Receiving
Tommy Galt,MD,14,146,10.43,--,0,Receiving
Davin Meggett,MD,14,175,12.5,--,1,Receiving
Xavier Dye,CLEM,14,236,16.86,--,3,Receiving
Javarris James,MIA,13,85,6.54,--,0,Receiving
Caz Piurowski,FSU,13,182,14,--,2,Receiving
Da'Rel Scott,MD,12,111,9.25,--,0,Receiving
T.J. Graham,NCST,12,129,10.75,--,1,Receiving
Donald Bowens,NCST,12,175,14.58,--,1,Receiving
Jheranie Boyd,UNC,12,214,17.83,--,4,Receiving
Jamie Harper,CLEM,11,49,4.45,--,0,Receiving
Andre Ellington,CLEM,11,55,5,--,0,Receiving
Torrey Mack,UVA,11,70,6.36,--,0,Receiving
Ryan Houston,UNC,11,82,7.45,--,0,Receiving
Beau Reliford,FSU,11,101,9.18,--,2,Receiving
Steven Howard,NCST,11,112,10.18,--,0,Receiving
Terrance Ashe,CLEM,11,124,11.27,--,0,Receiving
Taylor Gentry,NCST,10,83,8.3,--,1,Receiving
LaQuan Williams,MD,10,99,9.9,--,1,Receiving
Dwayne Allen,CLEM,10,108,10.8,--,3,Receiving
Cameron Ford,WF,10,120,12,--,0,Receiving
Lonnie Pryor,FSU,10,132,13.2,--,1,Receiving
Andrew Parker,WF,9,90,10,--,2,Receiving
Brandon King,DUKE,9,162,18,--,1,Receiving
Marquan Jones,CLEM,9,176,19.56,--,1,Receiving
Brandon Pendergrass,WF,8,47,5.88,--,0,Receiving
Rendrick Taylor,CLEM,8,53,6.62,--,0,Receiving
Tommy Bohanon,WF,8,66,8.25,--,1,Receiving
Montel Harris,BC,8,69,8.62,--,1,Receiving
Dontrelle Inman,UVA,8,80,10,--,0,Receiving
Xavier Boyce,VT,8,88,11,--,1,Receiving
Tervaris Johnson,MIA,8,94,11.75,--,2,Receiving
Lars Anderson,BC,8,102,12.75,--,1,Receiving
Embry Peeples,GT,8,244,30.5,--,1,Receiving
Tyree Watkins,DUKE,7,48,6.86,--,0,Receiving
Anthony Elzy,UNC,7,49,7,--,0,Receiving
Lansford Watson,MD,7,66,9.43,--,0,Receiving
Johnny White,UNC,7,66,9.43,--,1,Receiving
Greg Boone,VT,7,75,10.71,--,0,Receiving
Louis Givens,FSU,7,78,11.14,--,0,Receiving
