age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work location,income,educational_attainment
3,1,1,2,1,0,6,8,9,2,2,3
1,1,2,2,1,1,5,27,2,2,2,3
1,1,2,2,1,1,6,34,1,2,1,2
2,1,1,0,2,1,5,5,4,2,2,3
4,1,0,0,1,1,6,5,8,2,2,1
2,1,2,1,1,1,6,5,10,3,4,3
2,1,2,1,1,1,1,4,2,2,1,2
2,2,2,2,2,1,6,20,4,2,3,2
1,1,1,2,1,1,6,3,5,2,1,2
2,2,2,2,1,1,6,3,10,2,3,2
2,1,2,2,2,1,6,48,5,3,2,3
2,3,2,1,0,0,5,6,9,2,3,3
2,2,2,2,1,1,6,8,9,2,1,2
2,2,1,2,2,1,2,20,7,2,3,2
2,1,0,2,1,1,6,2,2,2,3,3
2,2,2,1,1,1,6,9,9,2,1,3
2,2,1,1,1,1,1,32,4,2,2,2
1,1,2,2,2,1,5,56,4,2,3,2
5,3,1,1,1,1,2,12,3,2,1,3
1,1,2,2,1,1,6,40,9,2,2,1
3,2,1,2,1,1,2,4,7,2,1,2
2,2,2,1,1,1,4,30,6,2,4,2
1,1,1,2,2,1,1,8,3,2,2,2
2,1,1,0,1,1,4,5,5,2,1,2
1,1,2,2,1,1,6,3,5,2,1,2
2,1,1,2,1,1,2,30,7,2,3,3
1,2,2,2,0,1,6,20,10,2,1,3
1,2,1,1,2,1,6,60,9,2,1,2
1,2,1,1,2,1,6,60,9,2,1,2
2,1,2,2,1,1,3,40,2,2,3,2
1,2,2,1,2,1,1,5,4,2,2,1
1,2,2,2,2,1,6,6,1,2,1,1
2,1,1,2,1,1,1,7,3,2,1,3
2,1,2,2,1,1,6,35,9,2,4,3
1,2,2,2,2,1,6,40,4,3,1,2
2,1,1,1,1,1,1,3,7,2,2,2
2,2,1,2,1,0,6,30,1,2,2,2
2,1,2,2,1,1,3,40,4,2,3,2
2,2,2,2,0,0,6,30,5,3,2,3
2,1,0,1,0,1,3,8,7,2,2,2
2,2,2,2,1,1,6,10,9,2,1,1
2,1,2,2,2,1,1,10,3,2,4,3
2,2,2,1,0,1,6,20,2,2,2,2
2,2,2,1,0,1,6,20,2,2,2,2
1,2,1,1,2,1,6,60,9,2,1,2
2,2,2,1,1,1,6,30,2,2,2,3
1,2,1,1,2,1,6,60,9,2,3,2
1,2,1,1,2,1,6,60,9,2,4,2
1,2,1,1,2,1,6,60,9,2,4,2
1,2,1,1,2,1,6,60,9,2,1,2
1,1,1,2,1,1,3,10,2,2,2,2
1,2,1,0,1,1,6,35,3,2,3,3
2,1,2,2,2,1,2,10,4,2,1,1
1,1,1,2,2,1,3,28,3,2,4,2
1,1,2,2,1,1,6,10,3,2,1,2
2,1,0,1,2,1,4,40,5,2,2,3
2,1,1,2,1,1,6,20,10,2,3,3
2,1,2,2,2,1,6,8,4,3,3,3
1,1,1,2,2,1,6,30,8,2,3,3
2,1,2,2,2,1,6,5,1,2,2,3
1,1,1,2,1,0,2,8,9,1,1,1
2,1,2,2,1,1,6,8,4,3,4,3
1,1,2,2,1,1,3,36,5,2,4,2
2,2,0,1,1,1,5,25,3,2,3,3
1,2,1,2,2,1,6,40,4,2,2,2
1,2,2,2,1,1,1,20,7,2,1,3
3,2,2,2,2,1,2,20,2,2,1,3
3,2,2,1,1,1,3,4,2,2,1,2
2,2,1,2,1,1,6,15,9,2,2,2
2,1,1,2,0,1,6,15,4,2,2,3
2,2,2,1,0,1,6,5,9,2,1,3
2,1,2,2,2,1,1,5,3,2,3,3
1,1,1,1,0,1,6,21,3,2,1,3
1,1,2,2,1,1,3,9,3,2,1,3
1,2,1,1,2,1,6,60,9,2,1,2
1,2,1,1,2,1,6,60,9,2,1,2
1,2,1,1,2,1,6,60,9,2,1,2
1,2,1,2,1,0,2,40,9,2,2,2
2,2,2,2,2,0,1,40,9,2,2,2
4,1,1,2,1,1,2,32,2,2,2,2
1,1,1,2,1,1,6,35,10,2,2,3
1,1,2,2,1,1,3,9,3,2,1,3
2,2,2,2,1,1,6,30,5,2,4,3
1,2,0,1,1,1,6,35,5,2,3,3
1,2,1,2,1,1,6,5,1,2,1,3
2,2,1,2,1,1,3,30,2,2,1,2
1,1,1,1,1,1,5,32,2,2,2,3
1,2,0,0,0,1,6,40,3,2,3,2
1,2,1,1,1,1,3,2,2,3,1,3
2,1,1,2,2,1,6,25,7,2,3,3
1,2,2,2,0,1,6,3,9,2,1,1
1,2,1,0,1,1,6,6,4,2,1,3
5,2,2,2,1,0,6,20,9,2,3,1
1,1,1,2,1,1,6,5,9,2,1,3
1,1,2,1,0,1,6,30,2,2,2,2
1,2,1,1,1,1,3,40,5,2,2,2
1,2,1,2,2,1,3,40,3,2,2,3
