Organization_Type,Job_Performance,Empowerment,Innovative_org_culture,Ethical_leadership,OCB,Perceived_org_goal_clarity,Diffficulty_of_work_life_balance,Training_opportunity,Org_commitment,Teamwork,Overall_job_satisfaction,Turnover_intention,Sex,Age,Education,Tenure
Private,9,8,8,26,18,13,8,13,13,8,4,No,Male,50,College,24
Private,9,9,9,23,15,11,7,11,14,8,4,No,Male,57,Graduate school,28
Private,7,7,7,20,11,11,5,11,12,9,3,No,Male,54,College,26
Private,8,7,7,24,15,11,5,10,11,6,3,Yes,Female,32,College,5
Private,8,7,8,25,16,12,8,10,13,7,4,No,Female,27,College,6
Private,8,7,6,22,13,10,8,10,11,7,4,No,Female,28,College,8
Private,8,8,6,19,13,9,8,10,11,6,3,Yes,Female,25,College,3
Private,7,8,6,20,13,9,8,8,11,8,4,No,Male,50,College,22
Private,10,8,6,21,13,10,8,8,12,8,4,No,Male,29,College,2
Private,8,8,6,21,12,9,7,9,10,8,4,No,Male,37,College,10
Private,8,8,6,20,14,10,8,9,10,6,4,No,Male,55,College,23
Private,10,7,6,19,13,10,7,11,12,8,4,No,Male,45,College,20
Private,8,6,4,21,13,10,7,9,9,6,4,No,Male,39,College,12
Private,7,6,4,19,12,10,6,9,12,6,4,No,Male,35,College,8
Private,8,6,6,21,15,11,6,10,9,8,4,No,Male,49,College,15
Private,6,8,6,20,13,10,8,11,11,7,4,No,Male,53,College,21
Private,7,6,5,17,14,9,7,7,14,6,4,No,Male,53,High,15
Private,8,9,9,23,12,9,7,10,15,9,5,No,Male,37,College,11
Private,7,7,6,18,13,11,7,10,8,7,4,Yes,Male,46,College,20
Private,8,8,8,23,18,14,8,9,11,7,4,No,Female,37,College,15
Private,8,6,4,19,12,11,7,10,10,6,3,No,Male,30,College,4
Private,8,7,7,22,14,10,6,9,15,8,4,No,Male,33,College,2
Private,8,8,6,18,13,10,7,9,10,8,4,No,Female,23,High,2
Private,7,7,5,21,13,11,3,13,13,8,4,No,Male,34,College,7
Private,8,8,7,24,16,12,6,12,12,8,4,Yes,Male,33,College,10
Private,8,8,5,23,17,12,9,12,12,8,4,Yes,Male,32,High,13
Private,7,3,6,19,11,11,8,9,10,6,4,Yes,Male,33,College,3
Private,8,8,6,21,13,10,7,12,10,7,5,No,Male,35,College,8
Private,7,7,7,21,12,10,8,11,12,8,4,No,Male,43,Graduate school,13
Private,9,9,8,25,15,15,4,13,15,9,5,No,Male,53,College,25
Private,6,5,8,22,12,13,7,10,10,8,4,No,Male,38,College,11
Private,9,5,7,22,12,13,7,10,13,9,5,No,Male,40,College,13
Private,8,4,6,20,12,10,10,9,11,6,3,Yes,Male,31,College,6
Private,6,6,6,24,12,12,6,12,15,9,5,No,Female,25,College,2
Private,8,6,5,20,15,10,3,10,11,6,4,No,Male,50,College,24
Private,9,10,10,26,12,12,6,15,12,8,5,No,Male,58,College,30
Private,9,10,10,23,13,12,6,12,11,7,5,No,Male,40,College,13
Private,7,6,7,19,14,11,8,8,11,6,3,Yes,Female,27,College,5
Private,8,6,6,29,11,11,8,9,9,8,5,No,Male,31,College,4
Private,9,7,7,21,13,11,3,11,13,9,4,No,Male,48,College,20
Private,9,7,6,21,13,11,3,11,14,9,3,No,Female,48,College,18
Private,7,5,6,21,12,10,7,11,11,6,3,No,Male,30,College,4
Private,7,7,8,21,14,11,4,8,10,7,3,No,Female,37,College,11
Private,7,6,9,20,16,11,3,10,12,9,3,No,Male,40,College,12
Private,5,2,6,20,13,11,6,12,11,8,3,No,Female,23,High,3
Private,7,5,6,19,12,8,5,10,14,8,4,No,Male,29,College,3
Private,7,7,6,21,15,14,5,10,10,7,4,No,Male,27,College,1
Private,8,8,8,22,16,12,6,12,13,8,3,No,Male,29,High,9
Private,7,6,6,18,12,10,9,9,10,6,3,Yes,Female,23,College,1
Private,8,6,7,19,15,9,5,9,12,8,3,No,Female,28,College,6
Private,6,7,8,21,13,10,5,12,10,7,4,No,Male,55,College,30
Private,7,7,8,23,13,10,2,10,14,7,4,No,Male,50,College,20
Private,9,9,7,22,16,11,2,15,15,6,4,No,Female,35,College,7
Private,8,6,9,25,15,10,5,11,13,8,4,No,Female,26,High,3
Private,7,7,7,21,14,11,4,11,14,7,4,No,Male,40,College,14
Private,8,8,8,17,12,10,6,15,12,4,5,No,Female,39,College,14
Private,9,9,8,21,14,10,6,15,14,4,5,No,Female,43,College,14
Private,7,8,7,23,15,10,7,10,14,9,4,No,Male,48,College,16
Private,9,5,7,16,13,13,5,10,15,6,4,No,Male,45,College,2
Private,8,8,6,22,14,13,5,9,12,9,4,No,Female,22,College,1
Private,8,7,8,29,18,13,6,13,15,10,4,No,Female,69,High,40
Private,8,10,9,24,10,12,6,13,15,8,4,No,Female,41,College,17
Private,9,8,3,21,15,12,5,8,12,7,4,No,Female,47,College,20
Private,7,8,6,22,19,9,8,12,12,8,5,No,Male,56,High,15
Private,7,8,5,20,17,10,7,11,12,7,4,Yes,Male,40,College,14
Private,8,7,8,22,18,12,7,10,10,8,4,No,Male,36,College,10
Private,9,9,10,24,15,11,7,9,11,8,4,No,Male,28,College,3
Private,6,5,4,19,12,10,7,7,11,5,3,Yes,Female,28,High,9
Private,7,6,8,22,14,12,6,10,11,8,3,Yes,Female,25,College,1
Private,8,8,8,23,15,13,5,11,15,8,4,No,Male,42,College,10
Private,10,10,9,22,15,10,5,6,12,8,3,No,Male,31,College,5
Private,9,6,7,20,14,9,4,9,13,8,4,Yes,Female,43,College,10
Private,8,8,8,23,12,11,6,6,12,8,2,Yes,Female,33,High,11
Private,9,8,8,23,15,13,5,11,15,8,5,No,Male,53,College,
Private,7,7,7,21,15,12,6,12,15,8,4,No,Male,48,College,12
Private,8,5,8,22,13,13,7,10,12,8,3,No,Male,39,College,10
Private,8,6,8,20,14,10,4,12,15,8,3,Yes,Female,28,College,2
Private,9,9,7,21,14,10,4,9,15,8,4,No,Female,25,College,3
Private,8,7,8,20,15,12,2,10,10,8,3,No,Female,26,College,4
Private,9,8,10,27,14,12,6,11,11,6,4,No,Male,29,College,2
Private,7,5,7,21,13,9,4,8,14,10,3,Yes,Female,28,College,3
Private,7,8,8,21,14,10,7,11,11,8,4,No,Male,32,College,5
Private,9,9,9,25,12,10,3,9,14,9,4,No,Male,49,College,29
Private,6,8,8,26,18,15,4,9,15,9,5,No,Male,53,College,25
Private,5,4,6,17,8,8,4,12,11,8,5,No,Male,20,High,1
Private,8,8,8,21,15,9,5,9,12,8,4,No,Female,23,High,7
Private,7,7,7,19,12,11,9,10,11,7,4,No,Male,51,Elementary,17
Private,7,7,8,23,16,11,8,9,11,8,4,No,Male,52,College,30
Private,9,8,8,21,14,13,8,9,12,8,4,No,Male,56,Graduate school,22
Private,8,8,8,23,16,12,6,12,12,8,3,No,Male,38,College,11
Private,8,7,6,18,11,9,6,12,12,7,4,No,Male,27,College,1
Private,7,7,6,18,11,9,6,12,12,6,3,No,Female,25,College,2
Private,6,7,6,24,14,9,6,12,10,7,4,No,Male,30,College,3
Private,6,6,7,23,13,9,4,9,12,8,3,No,Female,27,College,5
Private,7,7,8,24,17,11,7,11,12,8,4,No,Female,32,College,6
Private,9,9,10,29,16,12,8,11,11,9,4,No,Male,58,College,32
Private,9,10,9,29,17,12,8,12,11,10,4,No,Male,56,College,30
Private,10,8,9,24,18,15,8,14,13,8,4,No,Male,52,College,27
Private,6,5,8,21,14,9,6,10,11,6,3,No,Female,32,High,11
Private,5,5,8,29,16,14,5,12,12,8,4,No,Female,27,College,2
Private,4,3,8,28,17,12,7,12,13,9,4,No,Male,27,College,2
Private,8,8,8,26,17,12,9,12,12,9,4,No,Female,38,College,14
Private,7,8,8,25,17,10,7,12,13,8,4,No,Male,52,College,26
Private,7,7,8,26,16,11,6,10,13,8,4,No,Male,40,College,13
Private,7,7,7,25,18,13,8,11,13,8,4,No,Male,38,College,12
Private,8,7,8,26,17,13,9,12,13,8,4,No,Male,51,College,25
Private,9,10,10,25,17,15,6,11,13,8,5,No,Male,57,College,30
Private,7,7,8,25,16,12,3,10,12,8,4,No,Male,35,College,8
Private,8,8,8,24,15,10,4,11,13,8,3,No,Female,23,High,1
Private,7,7,7,20,14,10,5,10,13,8,4,No,Male,38,College,10
Private,9,8,8,18,14,9,5,12,14,8,3,Yes,Female,28,High,2
Private,9,9,7,21,12,12,4,14,14,9,4,No,Male,61,College,30
Private,9,9,9,19,13,11,5,12,12,9,4,No,Male,62,College,31
Private,5,5,9,28,16,14,6,12,12,9,4,No,Female,27,College,1
Private,9,7,10,29,17,10,7,12,11,9,4,No,Male,51,College,26
Private,10,10,10,28,18,13,8,13,13,9,4,No,Male,56,College,29
Private,6,6,8,26,16,13,7,11,14,9,4,No,Male,47,College,21
Private,6,4,7,29,16,14,6,11,13,8,4,No,Male,29,College,2
Private,8,8,5,23,16,11,4,12,13,8,4,No,Male,44,College,19
Private,9,8,9,21,16,11,6,11,13,8,4,No,Male,46,College,18
Private,7,8,8,22,14,9,4,11,12,8,4,No,Male,30,College,5
Private,7,7,7,25,14,12,4,11,13,8,5,No,Male,53,College,20
Private,7,7,7,28,15,12,6,11,13,8,3,No,Male,36,College,12
Private,6,4,6,26,16,14,6,11,12,8,4,No,Male,28,College,2
Private,8,7,8,28,17,11,8,11,11,10,4,No,Male,49,College,23
Private,6,3,5,22,13,10,7,10,11,6,3,No,Female,22,High,3
Private,3,3,6,26,17,13,8,11,12,8,4,No,Female,26,College,1
Private,3,5,8,28,18,13,8,12,13,8,4,No,Female,26,College,2
Private,6,8,9,25,17,13,7,12,13,8,4,No,Male,45,High,18
Private,3,5,8,29,17,13,5,11,12,8,4,Yes,Female,28,College,2
Private,6,6,8,29,17,12,8,11,13,10,4,No,Male,45,College,19
Private,6,5,7,28,18,14,5,11,12,8,4,No,Male,30,College,3
Private,8,8,10,29,16,12,8,11,11,9,4,No,Male,50,College,26
Private,5,5,8,30,16,14,6,12,12,8,4,No,Female,26,College,2
Private,7,7,9,28,16,13,8,13,13,8,4,No,Female,31,College,6
Private,9,10,8,29,16,11,7,12,11,8,4,Yes,Male,55,College,30
Private,7,8,7,27,16,13,8,11,11,8,4,No,Male,48,College,21
Private,7,7,8,23,16,12,9,12,13,8,5,No,Male,50,College,24
Private,9,10,9,25,16,12,8,13,13,8,4,No,Male,59,College,35
Private,5,4,7,25,16,12,8,12,13,8,3,No,Female,30,College,6
Private,8,7,6,25,17,12,6,12,13,9,4,No,Male,46,College,19
Private,7,6,6,23,17,11,8,12,11,8,3,No,Female,27,College,2
Private,5,5,5,26,17,12,8,13,12,8,4,No,Male,33,College,6
Private,7,6,6,21,14,13,2,13,13,8,5,No,Female,55,High,20
Private,7,7,6,23,16,12,7,12,14,8,4,Yes,Male,45,College,18
Private,9,8,8,22,14,9,6,12,13,8,4,No,Male,41,College,10
Private,8,5,8,21,14,12,8,10,11,8,3,Yes,Male,36,College,11
Private,7,5,5,20,13,9,5,10,14,9,3,No,Female,29,College,3
Private,9,9,8,23,13,12,5,12,13,7,3,Yes,Male,39,College,10
Private,7,5,7,22,15,11,5,10,14,8,3,No,Male,31,College,3
Private,7,8,7,19,16,9,5,12,14,8,4,No,Male,35,College,10
Private,9,9,8,21,13,12,6,9,14,8,4,No,Male,55,College,20
Private,8,9,8,20,13,12,6,12,15,8,4,No,Male,52,College,19
Private,7,8,7,21,13,10,6,11,13,7,3,No,Male,42,College,10
Private,8,8,7,30,13,9,8,11,12,6,4,Yes,Female,29,College,6
Private,7,8,7,18,13,10,7,10,12,8,4,No,Male,41,College,16
Private,8,6,9,24,18,11,6,11,12,9,5,No,Male,42,College,15
Private,8,9,8,28,17,13,6,10,13,8,3,No,Male,38,College,12
Private,8,8,8,27,15,12,5,13,15,9,5,No,Female,35,College,9
Private,9,8,7,26,16,12,6,12,15,8,4,No,Male,49,College,20
Private,7,5,8,21,11,11,6,8,10,6,3,Yes,Male,48,College,14
Private,8,6,6,22,10,12,2,9,12,8,3,No,Male,39,College,14
Private,7,5,7,20,13,10,5,11,14,9,3,Yes,Female,20,High,1
Private,9,8,9,25,15,13,6,11,14,8,4,No,Male,45,College,15
Private,7,5,6,21,14,10,5,9,11,8,3,No,Female,26,College,7
Private,7,5,6,19,12,9,5,8,10,5,3,No,Female,28,College,3
Private,9,9,9,18,13,11,5,13,13,9,4,No,Male,56,Graduate school,27
Private,7,9,8,21,14,9,3,14,14,9,4,No,Male,54,College,28
Private,8,7,6,21,14,11,8,9,13,8,3,No,Female,35,College,15
Private,7,5,7,18,10,10,5,9,12,9,3,No,Female,32,College,9
Private,7,7,7,22,14,11,5,11,14,8,3,No,Male,47,College,20
Private,7,6,7,23,10,13,4,9,13,7,4,Yes,Female,29,College,3
Private,9,7,7,20,14,10,5,11,13,7,3,No,Male,48,College,24
Private,7,7,7,19,14,10,5,10,12,8,4,No,Male,52,College,28
Private,7,8,9,19,15,10,4,9,13,7,5,Yes,Male,45,College,20
Private,9,6,8,20,13,13,8,12,11,9,4,Yes,Female,31,College,10
Private,6,4,8,19,12,11,7,10,11,7,3,Yes,Female,25,College,1
Private,8,5,8,22,11,10,7,10,10,6,3,Yes,Female,24,High,2
Private,8,5,7,20,14,13,7,11,13,8,4,No,,39,College,11
Private,8,7,8,24,17,14,8,11,13,8,4,No,Male,27,College,1
Private,4,2,4,24,19,13,8,11,11,8,4,No,Male,29,College,2
Private,8,7,7,26,18,12,6,11,13,9,4,No,Male,46,College,16
Private,9,8,9,24,17,12,8,13,11,8,4,No,Male,55,College,30
Private,7,7,7,21,14,11,5,10,10,6,4,No,Male,28,College,1
Private,7,7,7,21,14,10,7,11,8,7,4,No,Male,28,College,1
Private,7,5,6,18,14,9,3,10,13,9,4,No,Female,34,College,7
Private,8,8,6,21,14,15,6,13,12,8,4,No,Male,28,College,2
Private,7,7,7,22,14,10,7,11,13,7,5,No,Female,23,College,1
Private,8,7,7,22,15,11,7,10,12,8,4,No,Male,57,College,30
Private,8,7,8,22,14,14,4,10,12,8,4,No,Male,35,College,7
Private,9,7,7,22,13,11,4,8,12,8,3,No,Male,43,College,16
Private,9,6,10,29,16,13,4,14,15,8,4,No,Male,31,College,5
Private,7,7,7,18,12,11,5,10,14,7,3,Yes,Male,40,College,12
Private,5,4,5,20,11,10,5,11,13,8,4,No,Male,33,College,8
Private,7,6,7,20,13,11,6,10,10,8,3,No,Female,31,College,10
Private,8,5,6,19,13,10,6,8,11,7,3,No,Female,29,College,4
Private,7,5,7,19,11,10,7,9,10,7,2,No,Female,29,College,4
Private,9,6,6,26,12,13,6,10,10,10,4,No,Male,30,College,3
Private,8,6,8,19,12,11,7,10,11,8,3,No,Male,39,College,7
Private,8,6,7,19,12,11,6,9,11,7,3,No,Female,40,College,2
Private,8,6,8,19,13,13,7,10,11,8,4,No,Male,52,College,16
Private,8,6,9,21,13,15,8,11,11,7,3,Yes,Female,32,College,10
Private,8,5,7,22,13,12,7,10,12,8,3,No,Male,39,College,13
Private,7,4,7,22,12,10,7,10,10,8,3,No,Male,26,College,2
Private,7,7,8,22,13,14,6,10,11,8,3,No,Male,50,College,16
Private,9,7,9,21,13,14,7,12,12,9,4,No,Female,51,Graduate school,23
Private,9,4,8,20,12,12,6,12,10,7,3,Yes,Female,23,High,1
Private,8,7,8,20,13,10,7,9,11,9,4,No,Male,52,College,16
Private,8,8,7,22,13,9,8,10,11,7,4,No,Male,31,College,3
Private,7,6,7,20,13,9,7,11,12,7,4,No,Male,30,College,2
Private,8,7,8,24,15,14,4,13,12,8,4,No,Male,53,College,23
Private,7,7,8,18,16,12,2,11,12,8,4,No,Male,54,College,20
Private,8,6,8,20,14,10,5,12,12,8,4,No,Male,43,College,6
Private,8,8,7,21,12,12,7,11,11,6,4,No,Male,55,College,20
Private,8,8,7,19,13,11,8,10,11,7,4,No,Male,45,College,20
Private,8,8,7,23,14,12,6,12,15,8,4,No,Male,43,College,12
Private,8,8,7,18,13,12,6,12,12,9,5,No,Male,43,College,15
Private,6,6,7,22,15,10,5,12,13,8,4,No,Female,38,High,4
Private,6,5,7,20,13,12,6,11,13,8,3,No,Male,31,College,5
Private,8,7,8,24,16,12,5,12,12,8,4,Yes,Female,23,College,1
Private,7,7,7,19,13,11,5,11,14,8,3,No,Male,38,College,10
Private,8,7,7,22,17,11,7,11,11,8,4,No,Male,40,College,14
Private,4,4,7,23,16,14,6,10,11,10,4,No,Female,27,College,3
Private,8,7,8,26,14,11,4,13,13,9,4,No,Male,33,College,6
Private,9,9,8,20,14,10,2,11,12,7,5,No,Male,48,College,20
Private,8,7,7,20,15,11,4,10,11,6,4,No,Male,34,College,2
Private,4,4,4,25,17,11,8,11,12,7,4,No,Female,28,College,3
Private,4,3,8,24,19,12,8,13,12,8,3,No,Female,27,College,2
Private,7,8,7,26,16,12,8,11,11,8,4,No,Male,57,College,31
Private,8,8,8,25,17,12,8,13,13,8,4,No,Male,52,College,26
Private,7,4,6,22,15,9,6,9,11,6,3,No,Male,38,College,12
Private,8,8,7,21,13,9,7,11,11,7,4,No,Male,28,College,3
Private,7,5,6,20,13,12,9,10,11,7,3,No,Female,30,College,9
Private,8,7,7,20,14,8,8,11,11,8,4,No,Male,35,College,8
Private,8,8,6,22,15,9,6,11,10,6,4,No,Male,56,College,20
Private,8,8,6,18,13,10,6,10,12,7,4,No,Male,53,College,19
Private,8,8,8,22,15,9,4,10,12,8,4,No,Female,33,College,6
Private,8,8,8,20,16,11,5,12,15,8,3,No,Male,45,College,13
Private,7,6,7,20,15,10,6,11,10,8,4,No,Male,28,College,2
Private,6,4,8,20,12,10,6,10,10,6,5,No,Female,25,College,1
Private,9,9,9,23,14,12,6,13,15,9,3,No,Male,45,College,15
Private,9,9,8,27,15,14,4,13,15,8,5,No,Male,53,College,25
Private,7,7,7,19,15,11,3,11,14,8,4,No,Male,45,College,14
Private,8,8,8,21,13,10,7,11,11,6,4,No,Male,45,College,18
Private,7,7,8,20,13,12,9,12,12,5,4,No,Female,35,College,4
Private,7,8,7,18,11,13,3,11,12,8,4,No,Male,44,College,19
Private,8,8,10,24,14,12,8,9,13,9,3,Yes,Female,28,College,3
Private,3,5,7,24,16,12,8,11,11,8,4,No,Male,28,College,2
Private,3,4,8,29,16,14,5,12,12,9,4,No,Female,28,College,2
Private,9,9,10,30,16,12,8,10,11,9,4,No,Male,52,Graduate school,25
Private,8,8,4,17,15,15,6,11,12,8,4,No,Male,35,College,9
Private,7,6,4,22,11,12,8,10,11,6,4,No,Female,22,College,2
Private,6,4,5,25,13,15,4,10,12,6,5,No,Female,43,College,10
Private,6,7,3,18,12,9,7,11,8,6,3,No,Female,35,College,12
Private,7,4,5,17,12,11,5,9,11,7,4,No,Female,45,College,3
Private,5,7,5,21,11,11,5,9,9,5,4,Yes,Male,52,College,31
Private,9,8,8,24,15,12,4,12,10,7,4,No,Female,24,College,4
Private,6,6,10,30,18,12,8,13,13,8,4,No,Male,38,College,13
Private,7,6,8,20,11,12,8,10,11,7,4,No,Male,41,Graduate school,12
Private,7,9,9,20,13,9,4,10,13,8,4,No,Male,39,Graduate school,14
Private,9,9,7,21,13,10,4,12,14,9,5,No,Male,52,Graduate school,20
Private,7,7,6,20,13,10,5,10,15,9,3,No,Male,39,College,12
Private,7,5,10,21,11,12,6,10,11,7,4,No,Male,47,College,17
Private,9,7,9,21,13,14,7,9,12,8,5,No,Male,52,College,23
Private,7,7,6,18,13,8,4,10,14,9,4,No,Male,48,College,24
Private,7,7,7,19,13,10,3,10,14,8,3,No,Male,45,College,13
Private,8,8,8,18,13,13,6,10,12,8,3,No,Male,40,College,12
Private,9,8,9,18,12,11,5,10,13,8,5,No,Female,27,College,7
Private,10,8,6,22,15,8,9,11,11,8,4,Yes,Female,28,College,3
Private,6,7,6,19,13,10,7,11,11,6,4,No,Female,32,College,10
Private,8,8,6,19,16,11,7,11,10,6,4,No,Male,38,College,8
Private,7,7,8,21,16,12,6,12,13,9,4,No,Male,41,College,11
Private,8,8,6,23,13,11,4,11,11,8,3,Yes,Male,46,College,19
Private,7,7,6,20,17,9,7,11,8,8,4,No,Male,58,College,28
Private,7,5,7,21,12,12,8,10,14,8,3,No,Female,39,Graduate school,11
Private,6,6,8,29,16,13,8,14,13,8,4,No,Male,39,College,13
Private,8,8,7,18,14,10,3,11,13,9,4,No,Male,47,College,15
Private,8,8,8,22,15,12,4,12,13,8,4,No,Male,32,College,6
Private,7,7,7,20,15,14,2,12,14,8,4,No,Male,48,College,1
Private,8,7,7,20,14,9,3,10,13,8,3,Yes,Male,47,College,20
Private,7,8,8,22,14,9,4,9,13,8,4,No,Male,53,College,15
Private,8,8,8,20,15,11,4,12,13,8,3,No,Male,53,College,15
Private,6,8,8,21,16,9,6,11,13,8,3,No,Male,29,College,6
Private,8,8,8,21,15,12,6,6,10,8,3,No,Male,35,College,5
Private,8,10,10,20,14,15,6,9,15,10,4,No,Male,39,College,11
Private,8,8,7,23,15,12,7,9,14,6,4,Yes,Female,40,College,9
Private,8,8,8,22,15,9,6,12,12,8,3,Yes,Male,53,College,20
Private,8,8,8,20,16,11,6,12,12,8,4,No,Female,35,College,11
Private,6,5,6,16,13,9,6,8,12,7,4,No,Female,45,College,4
Private,7,7,7,23,16,12,5,8,11,7,4,No,Female,33,College,6
Private,7,8,9,21,15,9,4,11,10,7,3,Yes,Male,38,College,7
Private,6,7,7,20,14,11,7,11,11,8,4,Yes,Female,23,College,1
Private,7,6,6,22,16,12,3,9,9,7,3,Yes,Male,35,College,9
Private,7,8,7,22,13,10,4,9,12,8,4,No,Female,31,College,10
Private,9,9,6,22,12,10,9,12,14,9,4,No,Female,24,College,2
Private,9,8,8,19,16,13,6,10,11,6,5,No,Female,40,College,12
Private,7,7,8,18,13,11,4,13,13,9,4,No,Male,45,College,15
Private,7,5,7,19,14,11,6,8,13,8,4,No,Female,21,College,1
Private,7,5,6,20,12,11,5,11,13,7,4,No,Female,29,College,4
Private,7,5,7,18,12,10,5,13,15,8,3,No,Female,27,College,3
Private,9,7,9,19,13,11,4,10,14,10,3,No,Male,50,College,20
Private,5,5,7,19,11,10,3,12,14,9,4,No,Female,32,College,8
Private,9,8,8,26,15,13,4,13,15,8,5,No,Male,45,College,18
Private,6,6,6,22,12,10,6,10,11,6,4,No,Male,45,College,16
Private,10,8,8,22,12,11,7,12,15,8,4,No,Male,50,College,22
Private,7,7,7,20,14,12,6,12,12,8,4,No,Male,43,College,13
Private,7,4,6,19,14,10,6,10,11,6,3,No,Female,38,College,13
Private,6,7,9,24,14,15,8,11,11,7,4,No,Male,28,College,2
Private,6,8,8,24,18,14,2,12,10,8,4,No,Female,26,College,2
Private,7,7,8,24,15,10,4,11,8,6,4,No,Female,34,College,9
Private,7,10,10,23,17,13,7,12,12,8,4,No,Male,52,College,26
Private,10,9,10,25,17,11,7,14,14,8,5,No,Male,47,College,21
Private,8,9,8,25,17,12,8,11,13,8,4,No,Male,57,College,26
Private,7,5,6,22,13,10,6,10,10,7,3,No,Male,40,College,12
Private,9,8,8,26,17,14,8,12,14,9,5,No,Male,57,College,28
Private,9,8,6,23,16,14,4,11,14,8,4,No,Male,42,College,13
Private,9,8,8,22,15,11,8,11,12,8,4,No,Male,39,College,13
Private,8,10,9,23,17,10,3,8,11,8,4,No,Female,28,College,2
Private,10,8,8,24,14,12,8,11,15,8,4,No,Male,59,College,30
Private,6,6,8,26,15,9,6,10,11,8,4,No,Male,53,College,27
Private,7,4,5,21,13,9,6,10,12,6,3,No,Male,39,College,12
Private,8,8,8,24,16,12,7,14,12,8,4,No,Male,41,College,14
Private,7,6,8,21,16,11,5,12,10,8,4,No,Male,27,College,1
Private,8,6,7,26,17,12,8,11,13,9,4,,Female,38,College,12
Private,6,4,6,28,16,13,6,12,13,8,4,No,Male,29,College,2
Private,7,5,6,21,14,9,6,10,11,6,3,No,Male,40,College,12
Private,8,7,7,24,18,11,6,12,12,9,4,No,Male,47,College,20
Private,8,8,9,27,16,13,4,12,11,8,4,No,Female,33,College,7
Private,8,8,7,24,14,11,4,12,12,6,4,No,Male,52,College,23
Private,7,7,8,22,15,10,4,9,12,9,4,No,Female,28,College,4
Private,9,10,8,20,15,14,4,11,11,8,4,No,Female,40,College,10
Private,7,6,7,21,14,10,6,11,11,8,4,No,Male,36,College,16
Private,8,8,9,26,13,11,2,15,12,8,3,No,Male,31,College,10
Private,8,8,10,24,16,9,2,13,12,8,3,No,Male,43,College,15
Private,7,8,8,22,14,13,8,11,10,8,4,No,Female,39,College,10
Private,7,4,7,20,12,11,6,10,10,7,3,No,Female,26,College,2
Private,8,8,8,26,16,12,4,9,12,8,3,No,Male,49,College,20
Private,7,5,8,19,12,12,7,12,10,8,3,No,Male,48,College,16
Private,8,8,8,21,16,10,6,12,11,6,3,No,Female,28,College,4
Private,9,8,9,25,16,11,8,13,11,8,4,No,Female,28,College,6
Private,10,8,7,18,11,12,9,9,9,8,3,No,Female,34,High,15
Private,7,6,6,19,11,12,4,9,9,8,4,No,Male,29,College,1
Private,8,8,6,23,12,12,6,10,8,6,4,No,Male,38,College,11
Private,6,6,6,18,10,8,5,9,10,6,4,No,Female,26,College,3
Private,6,5,6,17,9,9,5,9,8,6,4,No,Female,26,College,2
Private,8,8,8,18,10,9,8,9,11,6,4,No,Male,46,College,11
Private,8,6,6,19,8,8,6,9,8,6,4,No,Female,25,College,3
Private,10,8,9,15,16,12,6,13,10,8,3,No,Female,30,College,7
Private,7,5,7,20,11,12,8,10,11,8,3,No,Female,35,Graduate school,10
Private,8,8,8,22,15,12,6,9,12,7,4,No,Female,33,College,5
Private,8,7,7,24,15,11,4,11,11,8,4,No,Male,49,College,10
Private,8,8,8,21,17,10,8,12,11,7,4,No,Male,53,College,20
Private,7,6,6,21,12,13,6,9,11,6,4,No,Female,24,High,2
Private,7,8,6,22,14,12,2,6,15,8,4,Yes,Male,59,High,30
Private,6,6,6,20,11,9,7,9,10,6,3,No,Male,30,College,1
Private,8,8,7,,14,10,5,11,10,8,4,No,Male,37,College,12
Private,7,8,7,22,15,9,4,12,15,8,4,Yes,Male,35,College,8
Private,8,8,8,20,12,14,8,12,15,8,4,No,Male,53,College,25
Private,7,6,7,18,13,11,6,9,12,7,4,No,Male,28,College,1
Private,8,8,6,21,11,12,5,,10,6,4,No,Female,40,High,20
Private,8,10,6,19,13,15,6,10,11,8,5,No,Female,24,High,1
Private,8,5,6,21,12,11,7,15,10,7,4,Yes,Female,33,High,3
Private,9,8,8,27,15,12,7,9,13,8,4,No,Female,30,College,
Private,8,8,7,20,15,10,8,9,10,6,4,No,Female,44,College,20
Private,7,8,8,20,11,14,8,10,14,8,4,No,Male,62,College,35
Private,6,7,6,20,12,12,7,9,13,8,5,No,Male,46,College,23
Private,8,8,6,18,12,9,7,12,13,10,4,No,Female,32,Graduate school,8
Private,8,7,7,20,12,10,6,15,11,8,5,No,Male,26,College,3
Private,9,8,9,22,16,14,5,13,12,7,3,No,Female,20,High,1
Private,9,8,7,20,13,10,8,11,11,7,4,No,Male,43,College,15
Private,8,7,7,20,15,12,7,10,10,7,4,No,Female,23,College,3
Private,6,2,5,19,12,9,5,12,14,9,5,No,Female,23,College,1
Private,8,8,8,22,17,12,7,11,11,8,4,No,Female,33,College,12
Private,10,9,8,24,15,11,7,11,12,8,5,No,Male,49,College,25
Private,10,10,10,20,15,15,6,10,10,6,5,No,Female,41,College,20
Private,9,8,8,21,13,10,8,10,13,7,4,No,Male,41,College,17
Private,8,8,6,24,14,12,6,9,12,8,5,No,Male,56,College,30
Private,6,4,6,22,14,10,6,10,10,6,3,No,Male,33,College,6
Private,8,8,10,26,17,13,8,12,10,8,4,No,Male,32,College,5
Private,8,7,8,22,16,12,7,11,12,8,4,No,Male,37,College,12
Private,7,7,8,18,12,11,5,13,13,9,4,No,Male,48,College,22
