Player,Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type
Antone Exum,VT,5,44,8.8,--,0,35,13,48,0,0,Defense
Ross Cockrell,DUKE,5,46,9.2,--,1,47,24,71,1,5,Defense
David Amerson,NCST,5,82,16.4,--,1,48,13,61,0,0,Defense
Jemea Thomas,GT,4,1,0.25,--,0,61,25,86,0,0,Defense
Rashard Hall,CLEM,4,17,4.25,--,0,51,29,80,0,0,Defense
Tre Boston,UNC,4,38,9.5,--,1,49,37,86,0,0,Defense
Tim Scott,UNC,4,50,12.5,--,1,36,12,48,0,0,Defense
Kevin Johnson,WF,3,2,0.67,--,0,34,24,58,0.5,4,Defense
Brandan Bishop,NCST,3,14,4.67,--,0,71,32,103,0,0,Defense
Xavier Rhodes,FSU,3,14,4.67,--,0,27,12,39,0,0,Defense
Spenser Rositano,BC,3,24,8,--,0,33,23,56,0,0,Defense
Tyler Hunter,FSU,3,37,12.33,--,0,19,6,25,0,0,Defense
Jamal Golden,GT,3,52,17.33,--,0,13,11,24,0,0,Defense
Juston Burris,NCST,3,61,20.33,--,0,34,10,44,1,1,Defense
Darien Rankin,UNC,3,67,22.33,--,0,25,23,48,0,0,Defense
Kyle Fuller,VT,2,0,0,--,0,44,8,52,0,0,Defense
Kenny Okoro,WF,2,0,0,--,0,36,17,53,0,0,Defense
Jimmy Gaines,MIA,2,8,4,--,0,34,23,57,0,0,Defense
Quayshawn Nealy,GT,2,9,4.5,--,0,47,32,79,2,14,Defense
Xavier Brewer,CLEM,2,12,6,--,0,44,16,60,2,14,Defense
Michael Cole,VT,2,12,6,--,0,22,21,43,0,0,Defense
Jim Noel,BC,2,13,6.5,--,0,26,11,37,0,0,Defense
Brandon McGee,MIA,2,26,13,--,0,37,17,54,1,8,Defense
Terrence Brooks,FSU,2,28,14,--,0,37,14,51,0,0,Defense
Manuel Asprilla,BC,2,35,17.5,--,0,27,15,42,0,0,Defense
Earl Wolff,NCST,2,35,17.5,--,0,75,44,119,0,0,Defense
Maurice Canady,UVA,2,39,19.5,--,0,22,6,28,0,0,Defense
A.J. Marshall,WF,2,39,19.5,--,1,41,35,76,0,0,Defense
Jordon Byas,DUKE,2,40,20,--,1,44,39,83,0.5,3,Defense
Jonathan Meeks,CLEM,2,74,37,--,1,41,24,65,0,0,Defense
Stephone Anthony,CLEM,1,0,0,--,0,31,32,63,1,1,Defense
Travis Blanks,CLEM,1,0,0,--,0,31,17,48,0,0,Defense
Lee Butler,DUKE,1,0,0,--,0,23,8,31,0,0,Defense
Walt Canty,DUKE,1,0,0,--,0,53,56,109,0.5,5,Defense
Thomas Finnie,MIA,1,0,0,--,0,22,8,30,0,0,Defense
Tony Foster,DUKE,1,0,0,--,0,25,12,37,0.5,1,Defense
C.J. France,DUKE,1,0,0,--,0,27,33,60,0,0,Defense
Kris Harley,VT,1,0,0,--,0,3,3,6,0,0,Defense
Demetrius Hartsfield,MD,1,0,0,--,0,45,33,78,3.5,30,Defense
Alonzo Highsmith Jr.,MIA,1,0,0,--,0,18,14,32,0,0,Defense
Rayshawn Jenkins,MIA,1,0,0,--,0,19,8,27,0,0,Defense
T.J. Jiles,UNC,1,0,0,--,0,4,0,4,0,0,Defense
Hakim Jones,NCST,1,0,0,--,0,4,6,10,0,0,Defense
Sterling Lucas,NCST,1,0,0,--,0,38,43,81,2,10,Defense
Donaldven Manning,VT,1,0,0,--,0,4,0,4,0,0,Defense
Mike Olson,WF,1,0,0,--,0,39,39,78,1,1,Defense
Jabari Price,UNC,1,0,0,--,0,50,26,76,1,13,Defense
Allen Ramsey,WF,1,0,0,--,0,7,2,9,0,0,Defense
Shakeel Rashad,UNC,1,0,0,--,0,13,5,18,1.5,4,Defense
Terry Shankle,UNC,1,0,0,--,0,21,3,24,0,0,Defense
Sean Sylvia,BC,1,0,0,--,0,52,34,86,0,0,Defense
C.J. Wilson,NCST,1,0,0,--,0,9,3,12,0,0,Defense
Eli Harold,UVA,1,1,1,--,0,12,24,36,2,18,Defense
Riley Haynes,WF,1,1,1,--,0,33,27,60,1,3,Defense
Justin Simmons,BC,1,2,2,--,0,31,21,52,0,0,Defense
Izaan Cross,GT,1,3,3,--,0,15,11,26,1.5,2,Defense
Garry Peters,CLEM,1,3,3,--,0,11,6,17,0,0,Defense
Darius Robinson,CLEM,1,3,3,--,0,10,7,17,0,0,Defense
Zach Thompson,WF,1,3,3,--,0,27,25,52,4,31,Defense
Louis Young,GT,1,3,3,--,0,21,11,32,0,0,Defense
Daniel Drummond,GT,1,4,4,--,0,17,19,36,0,0,Defense
Joe Vellano,MD,1,4,4,--,0,27,34,61,6,49,Defense
Donovan Riley,VT,1,5,5,--,0,2,2,4,0,0,Defense
Kieran Borcich,BC,1,6,6,--,0,9,7,16,0,0,Defense
Dallas Crawford,MIA,1,9,9,--,0,6,4,10,0,0,Defense
Ladarius Gunter,MIA,1,15,15,--,0,19,8,27,0,0,Defense
Shawn Green,GT,1,17,17,--,0,13,9,22,0,0,Defense
