Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
David Wilson,VT,290,"1,846",137,"1,709",5.89,--,9,Rushing
Lamar Miller,MIA,227,"1,335",63,"1,272",5.6,--,9,Rushing
Giovani Bernard,UNC,239,"1,324",71,"1,253",5.24,--,13,Rushing
Andre Ellington,CLEM,223,"1,218",40,"1,178",5.28,--,11,Rushing
Tevin Washington,GT,243,"1,126",139,987,4.06,--,14,Rushing
Perry Jones,UVA,184,960,45,915,4.97,--,5,Rushing
James Washington,NCST,226,925,28,897,3.97,--,7,Rushing
Davin Meggett,MD,171,922,26,896,5.24,--,4,Rushing
Brandon Pendergrass,WF,188,887,64,823,4.38,--,9,Rushing
Kevin Parks,UVA,152,754,45,709,4.66,--,9,Rushing
Rolandan Finch,BC,157,740,35,705,4.49,--,3,Rushing
David Sims,GT,135,702,4,698,5.17,--,7,Rushing
Orwin Smith,GT,61,632,17,615,10.08,--,11,Rushing
Devonta Freeman,FSU,120,593,14,579,4.83,--,8,Rushing
C.J. Brown,MD,79,647,73,574,7.27,--,5,Rushing
Andre Williams,BC,124,546,29,517,4.17,--,4,Rushing
Embry Peeples,GT,47,493,12,481,10.23,--,2,Rushing
Logan Thomas,VT,153,627,158,469,3.07,--,11,Rushing
Roddy Jones,GT,57,470,12,458,8.04,--,3,Rushing
Juwan Thompson,DUKE,110,472,15,457,4.15,--,7,Rushing
Josh Harris,WF,101,453,21,432,4.28,--,3,Rushing
Tony Creecy,NCST,103,401,19,382,3.71,--,1,Rushing
Josh Oglesby,VT,97,406,35,371,3.82,--,6,Rushing
Desmond Scott,DUKE,72,383,16,367,5.1,--,2,Rushing
Clifton Richardson,UVA,72,374,8,366,5.08,--,2,Rushing
Mike Bellamy,CLEM,57,360,17,343,6.02,--,3,Rushing
Preston Lyons,GT,57,342,2,340,5.96,--,2,Rushing
Ryan Houston,UNC,85,338,13,325,3.82,--,7,Rushing
Jermaine Thomas,FSU,61,309,30,279,4.57,--,1,Rushing
Mike James,MIA,72,286,11,275,3.82,--,7,Rushing
Justus Pickett,MD,74,294,20,274,3.7,--,1,Rushing
Curtis Underwood,NCST,51,261,7,254,4.98,--,1,Rushing
Synjyn Days,GT,48,257,20,237,4.94,--,4,Rushing
Sammy Watkins,CLEM,32,243,12,231,7.22,--,0,Rushing
D.J. Howard,CLEM,41,235,5,230,5.61,--,1,Rushing
Tajh Boyd,CLEM,142,462,244,218,1.54,--,5,Rushing
D.J. Adams,MD,40,182,8,174,4.35,--,4,Rushing
James Wilder Jr.,FSU,35,161,1,160,4.57,--,1,Rushing
Tahj Kimble,BC,43,163,7,156,3.63,--,1,Rushing
E.J. Manuel,FSU,110,411,260,151,1.37,--,4,Rushing
A.J. Blue,UNC,33,144,6,138,4.18,--,1,Rushing
Montel Harris,BC,31,146,11,135,4.35,--,0,Rushing
Anthony Boone,DUKE,44,136,7,129,2.93,--,4,Rushing
Orville Reynolds,WF,28,123,14,109,3.89,--,0,Rushing
Jay Hollingsworth,DUKE,27,114,7,107,3.96,--,1,Rushing
Charles Perkins,GT,28,97,2,95,3.39,--,1,Rushing
Jacory Harris,MIA,53,224,136,88,1.66,--,0,Rushing
Alex Amidon,BC,9,97,10,87,9.67,--,1,Rushing
Tony Zenon,GT,15,93,7,86,5.73,--,0,Rushing
Chris Thompson,FSU,29,96,13,83,2.86,--,1,Rushing
Eduardo Clements,MIA,15,82,0,82,5.47,--,1,Rushing
Lonnie Pryor,FSU,26,83,4,79,3.04,--,2,Rushing
Chris Givens,WF,14,86,9,77,5.5,--,0,Rushing
Josh Bordner,BC,19,74,1,73,3.84,--,2,Rushing
Ty Jones,FSU,23,74,3,71,3.09,--,1,Rushing
Roderick McDowell,CLEM,14,66,3,63,4.5,--,1,Rushing
