Player,Team,PAT,FG,0-19,20-29,30-39,40-49,50+,Lg,Pts,Stat Type
Chandler Catanzaro,CLEM,52/53,22/27,--,--,--,--,--,--,118,Kicking
Dustin Hopkins,FSU,44/44,22/27,--,--,--,--,--,--,110,Kicking
Jimmy Newman,WF,39/41,17/22,--,--,--,--,--,--,90,Kicking
Justin Moore,GT,56/56,17-Nov,--,--,--,--,--,--,89,Kicking
Cody Journell,VT,43/44,14/17,--,--,--,--,--,--,85,Kicking
Robert Randolph,UVA,32/32,16/23,--,--,--,--,--,--,80,Kicking
Niklas Sade,NCST,46/47,16-Nov,--,--,--,--,--,--,79,Kicking
Jake Wieclaw,MIA,39/39,14-Nov,--,--,--,--,--,--,72,Kicking
Nick Ferrara,MD,27/28,20-Dec,--,--,--,--,--,--,63,Kicking
Nate Freese,BC,26/27,16-Oct,--,--,--,--,--,--,56,Kicking
Thomas Moore,UNC,38/38,10-Jun,--,--,--,--,--,--,56,Kicking
Will Snyderwine,DUKE,28/28,17-Aug,--,--,--,--,--,--,52,Kicking
Casey Barth,UNC,11-Nov,1-Jan,--,--,--,--,--,--,14,Kicking
Justin Myer,VT,0/0,7-Apr,--,--,--,--,--,--,12,Kicking
Jeffrey Ijjas,DUKE,5-May,3-Jan,--,--,--,--,--,--,8,Kicking
Michael Tart,MD,3-Feb,0/0,--,--,--,--,--,--,2,Kicking
Tyler Weiss,VT,2-Feb,0/1,--,--,--,--,--,--,2,Kicking
David Scully,GT,1-Jan,0/1,--,--,--,--,--,--,1,Kicking
