Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type,,Year,Team,Total_Int,Total_Yds_Gained,Def_Per_Play_Avg,Total_Def_TD,Total_Tack,Total_Sack,Total_Yds_Lost,Stat_Type
SYR,1,0,0,0,0,12,4,16,3,21,Defense,,,,,,,,,,,
SYR,1,2,2,2,0,22,23,45,0,0,Defense,,,,,,,,,,,
SYR,1,3,3,3,0,56,30,86,2,10,Defense,,,,,,,,,,,
SYR,1,20,20,20,0,6,3,9,0,0,Defense,,,,,,,,,,,
UNC,2,0,0,0,0,34,21,55,0,0,Defense,,,,,,,,,,,
UNC,2,2,1,2,0,25,6,31,0,0,Defense,,,,,,,,,,,
UNC,1,0,0,0,0,3,1,4,0,0,Defense,,,,,,,,,,,
UNC,1,17,17,17,0,44,20,64,0,0,Defense,,,,,,,,,,,
UNC,1,19,19,19,0,3,1,4,0,0,Defense,,,,,,,,,,,
UVA,5,141,28.2,62,0,62,36,98,0,0,Defense,,,,,,,,,,,
UVA,2,19,9.5,19,0,39,23,62,2,8,Defense,,,,,,,,,,,
UVA,2,23,11.5,23,0,24,37,61,3,17,Defense,,,,,,,,,,,
UVA,2,31,15.5,31,0,39,26,65,0,0,Defense,,,,,,,,,,,
UVA,2,68,34,62,0,20,16,36,0,0,Defense,,,,,,,,,,,
UVA,1,0,0,0,0,6,7,13,0,0,Defense,,,,,,,,,,,
UVA,1,0,0,0,0,5,2,7,0,0,Defense,,,,,,,,,,,
UVA,1,2,2,2,0,2,3,5,0,0,Defense,,,,,,,,,,,
UVA,1,3,3,3,0,25,16,41,0,0,Defense,,,,,,,,,,,
VT,2,0,0,0,0,29,7,36,1,2,Defense,,,,,,,,,,,
VT,2,9,4.5,5,0,56,32,88,0,0,Defense,,,,,,,,,,,
VT,1,0,0,0,0,4,7,11,0,0,Defense,,,,,,,,,,,
VT,1,0,0,0,0,24,0,24,0,0,Defense,,,,,,,,,,,
VT,1,18,18,18,0,17,18,35,2,8,Defense,,,,,,,,,,,
WF,1,0,0,0,0,53,21,74,1,8,Defense,,,,,,,,,,,
WF,1,2,2,2,0,28,20,48,1,3,Defense,,,,,,,,,,,
WF,1,8,8,8,0,0,0,0,0,0,Defense,,,,,,,,,,,
WF,1,20,20,20t,1,25,16,41,0,0,Defense,,,,,,,,,,,
WF,1,43,43,43,0,34,18,52,0,0,Defense,,,,,,,,,,,
WF,1,60,60,60t,1,34,29,63,0,0,Defense,,,,,,,,,,,
