Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Michael Walker,BC,40,"1,020",25.5,0,60,0,Kickoff Return
Hassan Hall,LOU,34,818,24.06,3,93t,1,Kickoff Return
Joe Reed,UVA,26,707,27.19,0,90t,1,Kickoff Return
Juanyeh Thomas,GT,24,606,25.25,5,100t,2,Kickoff Return
Anthony Ratliff-Williams,UNC,28,598,21.36,2,38,0,Kickoff Return
Maurice Ffrench,PITT,20,547,27.35,6,99t,2,Kickoff Return
Deon Jackson,DUKE,23,502,21.83,1,46,0,Kickoff Return
Greg Dortch,WF,18,376,20.89,5,38,0,Kickoff Return
Maurice Trowell,NCST,17,374,22,4,47,0,Kickoff Return
Terius Wheatley,VT,14,370,26.43,0,51,0,Kickoff Return
Sean Riley,SYR,18,369,20.5,6,43,0,Kickoff Return
DeeJay Dallas,MIA,17,367,21.59,0,53,0,Kickoff Return
Derion Kendrick,CLEM,13,299,23,3,40,0,Kickoff Return
Jeff Thomas,MIA,10,260,26,0,52,0,Kickoff Return
Anthony Grant,FSU,11,247,22.45,0,30,0,Kickoff Return
Keyshawn Helton,FSU,9,196,21.78,2,35,0,Kickoff Return
Steven Peoples,VT,7,159,22.71,0,45,0,Kickoff Return
Caleb Farley,VT,7,152,21.71,0,32,0,Kickoff Return
Deshawn McClease,VT,7,152,21.71,0,28,0,Kickoff Return
Dazz Newsome,UNC,6,125,20.83,0,34,0,Kickoff Return
Cornell Powell,CLEM,4,117,29.25,0,43,0,Kickoff Return
Brittain Brown,DUKE,5,115,23,0,32,0,Kickoff Return
Coleman Fox,VT,4,80,20,0,23,0,Kickoff Return
Tre’shaun Harrison,FSU,4,75,18.75,0,28,0,Kickoff Return
Tyler Harrell,LOU,3,71,23.67,0,37,0,Kickoff Return
Khalan Laborn,FSU,3,64,21.33,0,25,0,Kickoff Return
Russ Yeast,LOU,3,59,19.67,0,23,0,Kickoff Return
Alex Bachman,WF,3,54,18,1,23,0,Kickoff Return
Shyheim Cullen,SYR,3,53,17.67,0,22,0,Kickoff Return
Tavares Kelly,UVA,3,50,16.67,0,23,0,Kickoff Return
Lorenzo Lingard,MIA,2,46,23,0,26,0,Kickoff Return
Evan Butts,UVA,2,43,21.5,0,30,0,Kickoff Return
Bruce Jordan-Swilling,GT,2,42,21,0,23,0,Kickoff Return
Dontae Strickland,SYR,2,42,21,1,23,0,Kickoff Return
Kenneth Ruff,SYR,2,41,20.5,0,22,0,Kickoff Return
Ben Glines,BC,2,39,19.5,0,18,0,Kickoff Return
Jeremy McDuffie,DUKE,2,38,19,0,21,0,Kickoff Return
Andrew Strader,BC,2,36,18,0,21,0,Kickoff Return
Chuck Wade,WF,2,36,18,0,23,0,Kickoff Return
Rodjay Burns,LOU,3,35,11.67,1,24,0,Kickoff Return
Rafael Araujo-Lopes,PITT,2,34,17,0,22,0,Kickoff Return
Amir Rasul,FSU,3,31,10.33,1,16,0,Kickoff Return
Aaron Hackett,SYR,2,29,14.5,0,20,0,Kickoff Return
Johnathan Lloyd,DUKE,4,28,7,0,17,0,Kickoff Return
Jaytlin Askew,GT,1,27,27,0,27,0,Kickoff Return
Mychale Salahuddin,PITT,2,26,13,3,14,0,Kickoff Return
C.J. Riley,NCST,1,22,22,1,17,0,Kickoff Return
Amari Rodgers,CLEM,1,22,22,1,22,0,Kickoff Return
Christian Beal-Smith,WF,1,20,20,0,20,0,Kickoff Return
Ryan Smenda Jr.,WF,1,20,20,0,20,0,Kickoff Return
Zaquandre White,FSU,1,20,20,0,20,0,Kickoff Return
Jake Bobo,DUKE,1,19,19,0,19,0,Kickoff Return
Chris Elmore,SYR,1,19,19,0,19,0,Kickoff Return
Daniel Helm,DUKE,2,18,9,0,9,0,Kickoff Return
Lyn-J Dixon,CLEM,1,16,16,0,16,0,Kickoff Return
Cam Akers,FSU,1,15,15,0,15,0,Kickoff Return
Paris Ford,PITT,1,15,15,0,15,0,Kickoff Return
Damontay Rhem,NCST,1,15,15,0,15,0,Kickoff Return
Davon Jones,BC,1,14,14,0,14,0,Kickoff Return
PK Kier,UVA,1,14,14,0,14,0,Kickoff Return
Avery Showell,GT,1,14,14,0,14,0,Kickoff Return
Cornelius Sturghill,LOU,1,14,14,0,14,0,Kickoff Return
Darrin Hall,PITT,1,12,12,0,12,0,Kickoff Return
Nykeim Johnson,SYR,1,11,11,0,11,0,Kickoff Return
Zion Debose,VT,1,10,10,0,10,0,Kickoff Return
Kobay White,BC,1,8,8,0,8,0,Kickoff Return
T.J. Jackson,VT,1,5,5,0,5,0,Kickoff Return
Matt Colburn,WF,0,0,0,1,0,0,Kickoff Return
Justin Marshall,LOU,0,0,0,1,0,0,Kickoff Return
Noah Taylor,UVA,0,0,0,1,0,0,Kickoff Return
Josh Tukes,GT,0,0,0,1,0,0,Kickoff Return
Brady Bodine,NCST,1,0,0,0,0,0,Kickoff Return
Drew McQuarrie,BC,1,0,0,1,0,0,Kickoff Return
Diondre Overton,CLEM,1,0,0,0,0,0,Kickoff Return
Johnathan Vickers,FSU,1,0,0,0,0,0,Kickoff Return
Abdul Adams,SYR,0,-4,0,0,0,0,Kickoff Return
