Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Anthony Allen,GT,240,"1,346",30,"1,316",5.48,--,7,Rushing
Montel Harris,BC,269,"1,278",35,"1,243",4.62,--,8,Rushing
Damien Berry,MIA,190,930,31,899,4.73,--,5,Rushing
Darren Evans,VT,151,886,32,854,5.66,--,11,Rushing
Chris Thompson,FSU,134,871,26,845,6.31,--,6,Rushing
Jamie Harper,CLEM,197,838,78,760,3.86,--,7,Rushing
Keith Payne,UVA,160,768,19,749,4.68,--,14,Rushing
Joshua Nesbitt,GT,166,876,139,737,4.44,--,10,Rushing
Josh Harris,WF,126,764,44,720,5.71,--,7,Rushing
Davin Meggett,MD,126,731,11,720,5.71,--,4,Rushing
Johnny White,UNC,130,763,43,720,5.54,--,7,Rushing
Da'Rel Scott,MD,122,730,22,708,5.8,--,5,Rushing
Andre Ellington,CLEM,118,718,32,686,5.81,--,10,Rushing
Tyrod Taylor,VT,146,915,256,659,4.51,--,5,Rushing
Perry Jones,UVA,137,680,34,646,4.72,--,1,Rushing
Lamar Miller,MIA,108,669,23,646,5.98,--,6,Rushing
Shaun Draughn,UNC,129,660,23,637,4.94,--,6,Rushing
David Wilson,VT,113,642,23,619,5.48,--,5,Rushing
Mustafa Greene,NCST,134,618,21,597,4.46,--,4,Rushing
Desmond Scott,DUKE,120,549,19,530,4.42,--,3,Rushing
Ty Jones,FSU,87,541,14,527,6.06,--,5,Rushing
Orwin Smith,GT,53,535,19,516,9.74,--,4,Rushing
Tevin Washington,GT,116,581,67,514,4.43,--,4,Rushing
Jermaine Thomas,FSU,86,528,38,490,5.7,--,6,Rushing
Ryan Williams,VT,110,529,52,477,4.34,--,9,Rushing
Andre Williams,BC,95,481,20,461,4.85,--,2,Rushing
Russell Wilson,NCST,143,667,232,435,3.04,--,9,Rushing
Mike James,MIA,70,409,11,398,5.69,--,3,Rushing
Roddy Jones,GT,52,378,25,353,6.79,--,4,Rushing
Brandon Connette,DUKE,78,370,49,321,4.12,--,8,Rushing
Dean Haynes,NCST,83,334,14,320,3.86,--,3,Rushing
Josh Adams,WF,91,350,34,316,3.47,--,3,Rushing
Anthony Elzy,UNC,72,308,12,296,4.11,--,2,Rushing
Embry Peeples,GT,46,312,25,287,6.24,--,1,Rushing
D.J. Adams,MD,67,253,14,239,3.57,--,11,Rushing
Josh Snead,DUKE,45,222,1,221,4.91,--,1,Rushing
James Washington,NCST,71,226,11,215,3.03,--,1,Rushing
Christian Ponder,FSU,100,367,187,180,1.8,--,4,Rushing
Jay Hollingsworth,DUKE,45,184,9,175,3.89,--,2,Rushing
Ted Stachitas,WF,35,216,45,171,4.89,--,2,Rushing
E.J. Manuel,FSU,41,218,48,170,4.15,--,1,Rushing
Graig Cooper,MIA,35,174,9,165,4.71,--,1,Rushing
Roderick McDowell,CLEM,32,177,16,161,5.03,--,1,Rushing
Raynard Horne,UVA,34,153,4,149,4.38,--,0,Rushing
Devon Brown,WF,18,147,13,134,7.44,--,2,Rushing
Lucas Cox,GT,22,131,0,131,5.95,--,0,Rushing
B.J. Bostic,GT,13,130,3,127,9.77,--,0,Rushing
Michael Campanaro,WF,29,135,12,123,4.24,--,1,Rushing
Tanner Price,WF,75,280,160,120,1.6,--,4,Rushing
Storm Johnson,MIA,9,123,4,119,13.22,--,1,Rushing
Brandon Pendergrass,WF,24,122,7,115,4.79,--,2,Rushing
Lonnie Pryor,FSU,23,114,2,112,4.87,--,4,Rushing
Tony Gregory,VT,23,107,5,102,4.43,--,0,Rushing
Sterlin Phifer,BC,17,102,1,101,5.94,--,0,Rushing
Jamarr Robinson,MD,37,181,84,97,2.62,--,0,Rushing
Daniel Barnes,CLEM,14,91,0,91,6.5,--,0,Rushing
Juwan Thompson,DUKE,25,88,1,87,3.48,--,0,Rushing
Tommy Bohanon,WF,17,78,1,77,4.53,--,0,Rushing
Stephen Morris,MIA,25,115,41,74,2.96,--,1,Rushing
Torrey Mack,UVA,19,73,1,72,3.79,--,0,Rushing
Jaron Brown,CLEM,8,64,1,63,7.88,--,0,Rushing
Chris Givens,WF,16,76,13,63,3.94,--,2,Rushing
Jheranie Boyd,UNC,10,71,9,62,6.2,--,0,Rushing
Curtis Underwood,NCST,15,63,1,62,4.13,--,0,Rushing
Preston Lyons,GT,14,60,0,60,4.29,--,0,Rushing
David Sims,GT,7,60,2,58,8.29,--,1,Rushing
Bert Reed,FSU,6,57,4,53,8.83,--,1,Rushing
Josh Oglesby,VT,6,49,0,49,8.17,--,0,Rushing
Max Milien,UVA,4,45,0,45,11.25,--,1,Rushing
Travis Benjamin,MIA,3,55,11,44,14.67,--,0,Rushing
Taylor Watson,MD,7,44,0,44,6.29,--,0,Rushing
Skylar Jones,WF,12,48,7,41,3.42,--,0,Rushing
Conner Vernon,DUKE,5,40,0,40,8,--,0,Rushing
Marcus Wright,GT,6,38,0,38,6.33,--,0,Rushing
Stephen Hill,GT,3,34,0,34,11.33,--,0,Rushing
Tajh Boyd,CLEM,23,64,31,33,1.43,--,1,Rushing
Eduardo Clements,MIA,8,33,1,32,4,--,0,Rushing
Richard Watson,GT,10,32,0,32,3.2,--,0,Rushing
Brendan Cross,WF,9,47,16,31,3.44,--,0,Rushing
Joshua Adams,UNC,3,30,0,30,10,--,0,Rushing
Hunter Furr,UNC,5,30,1,29,5.8,--,0,Rushing
Kyle Parker,CLEM,47,125,97,28,0.6,--,0,Rushing
Debrale Smiley,FSU,5,28,0,28,5.6,--,0,Rushing
Jacory Harris,MIA,29,123,96,27,0.93,--,2,Rushing
James McCluskey,BC,5,25,0,25,5,--,0,Rushing
Logan Thomas,VT,6,29,7,22,3.67,--,0,Rushing
Terrence Fells-Danzer,UVA,6,21,0,21,3.5,--,0,Rushing
Mike Salvatico,MD,11,27,6,21,1.91,--,0,Rushing
Robert Randolph,UVA,1,20,0,20,20,--,1,Rushing
Alex Amidon,BC,6,19,2,17,2.83,--,0,Rushing
Alex King,DUKE,1,16,0,16,16,--,0,Rushing
Dyrell Roberts,VT,3,20,4,16,5.33,--,0,Rushing
Tim Smith,UVA,1,16,0,16,16,--,0,Rushing
Greg Reid,FSU,2,14,0,14,7,--,0,Rushing
A.J. Alexander,FSU,3,18,6,12,4,--,0,Rushing
C.J. Brown,MD,1,12,0,12,12,--,0,Rushing
Marcus Davis,VT,1,12,0,12,12,--,0,Rushing
Todd Harrelson,UNC,1,12,0,12,12,--,0,Rushing
Patrick Kurunwune,DUKE,3,9,0,9,3,--,0,Rushing
Jamal Paige,GT,1,9,0,9,9,--,0,Rushing
