Player,Team,Num,Yds,Avg,FC,Lg,TD,Stat Type
Tyler Rouse,BC,24,320,13.33,36,53,0,Punt Return
Brisly Estime,SYR,16,283,17.69,13,74,0,Punt Return
Quadree Henderson,PITT,16,252,15.75,24,65t,1,Punt Return
Braxton Berrios,MIA,19,215,11.32,31,43,1,Punt Return
Daniel Hamm,UVA,22,215,9.77,18,40,0,Punt Return
Jaire Alexander,LOU,19,195,10.26,26,69t,1,Punt Return
Ryan Smith,DUKE,20,178,8.9,17,36,0,Punt Return
Ray Ray McCloud,CLEM,21,178,8.48,20,74,0,Punt Return
Jesus Wilson,FSU,9,155,17.22,10,89t,1,Punt Return
Greg Stroman,VT,23,127,5.52,11,29,0,Punt Return
Brad Stewart,GT,11,126,11.45,24,26,0,Punt Return
Bra'Lon Cherry,NCST,14,107,7.64,18,35,0,Punt Return
Ryan Switzer,UNC,16,106,6.62,13,31,0,Punt Return
Steven Peoples,VT,2,94,47,1,87t,1,Punt Return
C.J. Carroll,VT,8,89,11.12,8,19,0,Punt Return
Jessie Bates,WF,18,73,4.06,27,29,0,Punt Return
Artavis Scott,CLEM,9,59,6.56,14,28,0,Punt Return
Cam Phillips,VT,5,34,6.8,7,15,0,Punt Return
Adrien Dunn,CLEM,1,30,30,0,30,0,Punt Return
Sean Riley,SYR,2,30,15,8,17,0,Punt Return
Austin Proehl,UNC,1,28,28,1,28,0,Punt Return
Dexter Wright,NCST,0,16,0,0,16t,1,Punt Return
Pat Bethel,MIA,1,13,13,0,0,0,Punt Return
Amir Trapp,CLEM,3,13,4.33,1,8,0,Punt Return
Traveon Samuel,LOU,3,11,3.67,0,15,0,Punt Return
Ryan Mayes,MIA,0,9,0,0,9,0,Punt Return
Pharoah McKever,NCST,1,9,9,0,0,0,Punt Return
Chuck Clark,VT,3,9,3,1,7,0,Punt Return
Michael Walker,BC,1,8,8,0,8,0,Punt Return
Malik Williams,LOU,1,8,8,0,0,0,Punt Return
Nyqwan Murray,FSU,13,8,0.62,18,7,0,Punt Return
RJ McIntosh,MIA,1,6,6,0,0,0,Punt Return
Terrell Lewis,GT,1,5,5,0,0,0,Punt Return
Avonte Maddox,PITT,1,1,1,2,0,0,Punt Return
Reggie Bonnafon,LOU,0,0,0,1,0,0,Punt Return
Nyheim Hines,NCST,0,0,0,1,0,0,Punt Return
Malcolm Lewis,MIA,0,0,0,1,0,0,Punt Return
Myles Willis,BC,0,0,0,1,0,0,Punt Return
Gabriel McClary,BC,1,0,0,0,0,0,Punt Return
Devante Peete,LOU,1,0,0,0,0,0,Punt Return
Cornell Powell,CLEM,1,0,0,1,0,0,Punt Return
Justin Thomas,GT,1,0,0,0,0,0,Punt Return
Shaun Wilson,DUKE,1,-3,-3,1,0,0,Punt Return
Khane Pass,LOU,2,-3,-1.5,2,6,0,Punt Return
Tabari Hines,WF,4,-3,-0.75,4,2,0,Punt Return
Curtis Williams,VT,1,-8,-8,0,0,0,Punt Return
