Player,Team,Att,Gain,Loss,Yds,Avg,Lg,TD,Stat Type
Dallas Crawford,MIA,6,23,0,23,3.83,--,0,Rushing
Charles Perkins,GT,7,23,0,23,3.29,--,0,Rushing
LoVante Battle,UVA,1,22,0,22,22,--,0,Rushing
Patrick Kurunwune,DUKE,3,22,0,22,7.33,--,0,Rushing
Chad Abram,FSU,4,20,0,20,5,--,0,Rushing
Nigel King,MD,1,19,0,19,19,--,0,Rushing
Kenny Owens,UNC,9,21,2,19,2.11,--,0,Rushing
Travis Riley,UNC,7,22,4,18,2.57,--,0,Rushing
Phillip Sims,UVA,34,134,116,18,0.53,--,2,Rushing
Martavis Bryant,CLEM,1,17,0,17,17,--,0,Rushing
Bobby Swigert,BC,2,17,0,17,8.5,--,0,Rushing
Jamal Paige,GT,3,16,0,16,5.33,--,0,Rushing
Shawn Petty,MD,58,152,138,14,0.24,--,1,Rushing
Jamison Crowder,DUKE,3,19,6,13,4.33,--,0,Rushing
Kerry Boykins,MD,1,12,0,12,12,--,0,Rushing
