Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,Stat Type
Mike Glennon,NCST,564,330,58.5,"4,031",7.1,31,5.5,17,3,--,--,--,130.7,Passing
Tajh Boyd,CLEM,427,287,67.2,"3,896",9.1,36,8.4,13,3,--,--,--,165.6,Passing
E.J. Manuel,FSU,387,263,68,"3,397",8.8,23,5.9,10,2.6,--,--,--,156.1,Passing
Bryn Renner,UNC,422,276,65.4,"3,356",8,28,6.6,7,1.7,--,--,--,150.8,Passing
Stephen Morris,MIA,421,245,58.2,"3,345",7.9,21,5,7,1.7,--,--,--,138.1,Passing
Sean Renfree,DUKE,441,297,67.3,"3,113",7.1,19,4.3,10,2.3,--,--,--,136.3,Passing
Chase Rettig,BC,467,253,54.2,"3,060",6.6,17,3.6,13,2.8,--,--,--,115.7,Passing
Logan Thomas,VT,429,220,51.3,"2,976",6.9,18,4.2,16,3.7,--,--,--,115.9,Passing
Tanner Price,WF,410,228,55.6,"2,300",5.6,12,2.9,7,1.7,--,--,--,109,Passing
Michael Rocco,UVA,266,161,60.5,"1,917",7.2,13,4.9,10,3.8,--,--,--,129.7,Passing
Perry Hills,MD,169,97,57.4,"1,336",7.9,8,4.7,7,4.1,--,--,--,131.1,Passing
Phillip Sims,UVA,203,114,56.2,"1,263",6.2,9,4.4,4,2,--,--,--,119.1,Passing
Tevin Washington,GT,133,75,56.4,"1,222",9.2,8,6,4,3,--,--,--,147.4,Passing
Vad Lee,GT,56,27,48.2,596,10.6,4,7.1,3,5.4,--,--,--,150.5,Passing
Anthony Boone,DUKE,95,49,51.6,531,5.6,5,5.3,2,2.1,--,--,--,111.7,Passing
Shawn Petty,MD,84,39,46.4,500,6,6,7.1,2,2.4,--,--,--,115.2,Passing
Caleb Rowe,MD,44,25,56.8,290,6.6,2,4.5,3,6.8,--,--,--,113.5,Passing
Clint Trickett,FSU,34,22,64.7,272,8,0,0,0,0,--,--,--,131.9,Passing
Cole Stoudt,CLEM,39,27,69.2,212,5.4,3,7.7,1,2.6,--,--,--,135.1,Passing
Ryan Williams,MIA,20,15,75,137,6.8,1,5,0,0,--,--,--,149,Passing
Marquise Williams,UNC,17,10,58.8,127,7.5,1,5.9,0,0,--,--,--,141,Passing
Sammy Watkins,CLEM,2,1,50,52,26,1,50,0,0,--,--,--,433.4,Passing
Deandre Martin,WF,4,3,75,48,12,0,0,0,0,--,--,--,175.8,Passing
Devin Burns,MD,4,3,75,47,11.8,0,0,0,0,--,--,--,173.7,Passing
Jacob Coker,FSU,5,3,60,45,9,1,20,0,0,--,--,--,201.6,Passing
Bobby Swigert,BC,2,2,100,40,20,1,50,0,0,--,--,--,433,Passing
Michael Campanaro,WF,1,1,100,39,39,1,100,0,0,--,--,--,757.6,Passing
Brandon Connette,DUKE,13,5,38.5,38,2.9,3,23.1,0,0,--,--,--,139.2,Passing
Perry Jones,UVA,4,1,25,36,9,1,25,1,25,--,--,--,133.1,Passing
Dallas Crawford,MIA,2,1,50,29,14.5,0,0,0,0,--,--,--,171.8,Passing
Phillip Dorsett,MIA,2,2,100,26,13,0,0,0,0,--,--,--,209.2,Passing
Mark Leal,VT,6,4,66.7,26,4.3,0,0,0,0,--,--,--,103.1,Passing
Patrick Thompson,WF,6,5,83.3,21,3.5,0,0,0,0,--,--,--,112.7,Passing
Morgan Roberts,CLEM,3,2,66.7,20,6.7,0,0,0,0,--,--,--,122.7,Passing
Erik Highsmith,UNC,1,1,100,18,18,0,0,0,0,--,--,--,251.2,Passing
Will Monday,DUKE,1,1,100,9,9,0,0,0,0,--,--,--,175.6,Passing
Stefon Diggs,MD,2,1,50,8,4,1,50,0,0,--,--,--,248.6,Passing
Duke Johnson,MIA,2,1,50,8,4,1,50,0,0,--,--,--,248.6,Passing
Josh Bordner,BC,2,1,50,7,3.5,0,0,0,0,--,--,--,79.4,Passing
Brendan Cross,WF,5,1,20,4,0.8,0,0,0,0,--,--,--,26.7,Passing
Spencer Benton,CLEM,1,1,100,1,1,0,0,0,0,--,--,--,108.4,Passing
B.J. Bostic,GT,2,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Johnathan Coleman,BC,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Marcus Davis,VT,1,0,0,0,0,0,0,1,100,--,--,--,-200,Passing
Synjyn Days,GT,1,0,0,0,0,0,0,1,100,--,--,--,-200,Passing
DeAndre Hopkins,CLEM,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
Manny Stocker,NCST,1,0,0,0,0,0,0,0,0,--,--,--,0,Passing
