Player,Team,Pts,Tot,R,P,KR,PR,IR,FR,BK,BP,FGR,PAT,FG,Conv,Saf,Stat Type
Mike Weaver,WF,113,0,0,0,0,0,0,0,0,0,0,50/54,21/25,0,0,Scoring
Blanton Creque,LOU,109,0,0,0,0,0,0,0,0,0,0,58/59,17/20,0,0,Scoring
Lamar Jackson,LOU,108,18,18,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
TaQuon Marshall,GT,104,17,17,0,0,0,0,0,0,0,0,0/0,0/0,1,0,Scoring
Ricky Aguayo,FSU,96,0,0,0,0,0,0,0,0,0,0,42/43,18/21,0,0,Scoring
Michael Badgley,MIA,96,0,0,0,0,0,0,0,0,0,0,45/46,17/23,0,0,Scoring
Jaylen Samuels,NCST,96,16,12,4,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Cole Murphy,SYR,94,0,0,0,0,0,0,0,0,0,0,34/35,20/27,0,0,Scoring
AJ Dillon,BC,84,14,14,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Austin Parker,DUKE,84,0,0,0,0,0,0,0,0,0,0,33/35,17/21,0,0,Scoring
Joey Slye,VT,82,0,0,0,0,0,0,0,0,0,0,37/37,15/21,0,0,Scoring
Nyheim Hines,NCST,80,13,12,0,0,1,0,0,0,0,0,0/0,0/0,1,0,Scoring
Travis Etienne,CLEM,78,13,13,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Colton Lichtenberg,BC,76,0,0,0,0,0,0,0,0,0,0,40/43,20-Dec,0,0,Scoring
Alex Spence,CLEM,68,0,0,0,0,0,0,0,0,0,0,41/43,14-Sep,0,0,Scoring
Alex Kessman,PITT,67,0,0,0,0,0,0,0,0,0,0,34/34,19-Nov,0,0,Scoring
Kelly Bryant,CLEM,66,11,11,0,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
Freeman Jones,UNC,64,0,0,0,0,0,0,0,0,0,0,37/38,14-Sep,0,0,Scoring
A.J. Mejia,UVA,61,0,0,0,0,0,0,0,0,0,0,37/37,12-Aug,0,0,Scoring
Darrin Hall,PITT,60,10,9,1,0,0,0,0,0,0,0,0/0,0/0,0,0,Scoring
