Team,Int,Yds,Avg,Lg,TD,Solo,Ast,Tot,Sack,YdsL,Stat Type,Year,Team,Total_Int,Total_Yds_Gained,Def_Per_Play_Avg,Total_Def_TD,Total_Tack,Total_Sack,Total_Yds_Lost,Stat_Type
UNC,2,17,8.5,17,0,24,8,32,0,0,Defense,,,,,,,,,,
UNC,1,0,0,0,0,24,13,37,0,0,Defense,,,,,,,,,,
UNC,1,8,8,8,0,34,19,53,0,0,Defense,,,,,,,,,,
UNC,1,73,73,73,0,10,11,21,0,0,Defense,,,,,,,,,,
UVA,4,4,1,4,0,47,16,63,1,2,Defense,,,,,,,,,,
UVA,4,31,7.75,18,0,35,29,64,0,0,Defense,,,,,,,,,,
UVA,3,72,24,58t,1,61,75,136,0,0,Defense,,,,,,,,,,
UVA,1,0,0,0,0,6,7,13,2,11,Defense,,,,,,,,,,
UVA,1,3,3,3,0,32,36,68,8,60,Defense,,,,,,,,,,
UVA,1,8,8,8,0,20,21,41,0,0,Defense,,,,,,,,,,
UVA,1,36,36,36,0,29,18,47,1,5,Defense,,,,,,,,,,
VT,3,37,12.33,24t,1,13,5,18,0,0,Defense,,,,,,,,,,
VT,3,106,35.33,69t,1,44,28,72,0,0,Defense,,,,,,,,,,
VT,1,0,0,0,0,6,2,8,1,5,Defense,,,,,,,,,,
VT,1,8,8,8,0,24,22,46,6,38,Defense,,,,,,,,,,
VT,1,10,10,10,0,18,7,25,0,0,Defense,,,,,,,,,,
VT,1,18,18,18,0,23,4,27,1,7,Defense,,,,,,,,,,
VT,1,18,18,18,0,42,43,85,3,8,Defense,,,,,,,,,,
VT,1,55,55,55,0,27,23,50,1,9,Defense,,,,,,,,,,
WF,3,30,10,30t,1,52,23,75,0,0,Defense,,,,,,,,,,
WF,3,44,14.67,22,0,32,19,51,4.5,22,Defense,,,,,,,,,,
WF,2,0,0,0,0,51,11,62,0,0,Defense,,,,,,,,,,
WF,2,16,8,16,0,65,33,98,0,0,Defense,,,,,,,,,,
WF,2,60,30,52,0,56,29,85,1.5,12,Defense,,,,,,,,,,
WF,1,0,0,0,0,44,19,63,1,3,Defense,,,,,,,,,,
WF,1,37,37,37,0,46,25,71,0,0,Defense,,,,,,,,,,
