Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,Stat Type
Jameis Winston,FSU,467,305,65.3,"3,907",8.4,25,5.4,18,3.9,68t,17,127,145.5,Passing
Brad Kaaya,MIA,378,221,58.5,"3,198",8.5,26,6.9,12,3.2,79t,20,143,145.9,Passing
Marquise Williams,UNC,428,270,63.1,"3,073",7.2,21,4.9,9,2.1,91t,26,200,135.4,Passing
Anthony Boone,DUKE,454,255,56.2,"2,700",5.9,19,4.2,8,1.8,54t,13,91,116.4,Passing
Michael Brewer,VT,441,262,59.4,"2,692",6.1,18,4.1,15,3.4,50,32,274,117.4,Passing
Jacoby Brissett,NCST,370,221,59.7,"2,606",7,23,6.2,5,1.4,65t,29,190,136.7,Passing
Chad Voytik,PITT,287,176,61.3,"2,233",7.8,16,5.6,7,2.4,53t,20,144,140.2,Passing
John Wolford,WF,367,214,58.3,"2,037",5.6,12,3.3,14,3.8,46,46,317,108.1,Passing
Cole Stoudt,CLEM,301,190,63.1,"1,878",6.2,9,3,10,3.3,69,17,120,118.8,Passing
Justin Thomas,GT,187,96,51.3,"1,719",9.2,18,9.6,6,3.2,79t,10,57,153.9,Passing
Will Gardner,LOU,221,127,57.5,"1,669",7.6,12,5.4,3,1.4,74t,13,112,136.1,Passing
Greyson Lambert,UVA,261,154,59,"1,632",6.3,10,3.8,11,4.2,54,11,85,115.7,Passing
Tyler Murphy,BC,230,131,57,"1,623",7.1,13,5.7,10,4.3,55,21,164,126.2,Passing
Deshaun Watson,CLEM,138,94,68.1,"1,472",10.7,14,10.1,2,1.4,74t,8,55,188.3,Passing
Matt Johns,UVA,162,89,54.9,"1,109",6.8,8,4.9,5,3.1,45,3,31,122.6,Passing
Terrel Hunt,SYR,145,83,57.2,978,6.7,1,0.7,4,2.8,51,2,17,110.7,Passing
AJ Long,SYR,165,89,53.9,935,5.7,4,2.4,8,4.8,46,16,116,99.8,Passing
Reggie Bonnafon,LOU,120,61,50.8,864,7.2,5,4.2,4,3.3,52,21,149,118.4,Passing
Kyle Bolin,LOU,78,45,57.7,716,9.2,4,5.1,3,3.8,45t,4,35,144,Passing
Mitch Trubisky,UNC,78,42,53.8,459,5.9,5,6.4,4,5.1,39,2,15,114.2,Passing
Sean Maguire,FSU,49,25,51,340,6.9,1,2,2,4.1,74t,6,53,107.9,Passing
Austin Wilson,SYR,50,28,56,253,5.1,0,0,4,8,41,3,28,82.5,Passing
Trey Anderson,PITT,18,11,61.1,155,8.6,1,5.6,0,0,39,1,4,151.8,Passing
Tim Byerly,GT,13,9,69.2,148,11.4,1,7.7,0,0,30,1,8,190.2,Passing
Mark Leal,VT,9,6,66.7,77,8.6,1,11.1,0,0,15,0,0,175.2,Passing
Thomas Sirk,DUKE,14,10,71.4,67,4.8,3,21.4,0,0,18t,0,0,182.3,Passing
Tyler Cameron,WF,16,10,62.5,55,3.4,0,0,0,0,10,3,35,91.4,Passing
Miles Gooch,UVA,2,2,100,51,25.5,0,0,0,0,28,0,0,314.2,Passing
Jake Heaps,MIA,12,6,50,51,4.2,0,0,0,0,17,1,13,85.7,Passing
Nick Schuessler,CLEM,8,7,87.5,47,5.9,0,0,0,0,17,2,21,136.8,Passing
David Watford,UVA,4,3,75,45,11.2,0,0,0,0,29,1,8,169.5,Passing
Mitch Kimble,SYR,19,6,31.6,37,1.9,0,0,1,5.3,19,1,3,37.4,Passing
Josh Bordner,BC,2,1,50,35,17.5,0,0,0,0,35,0,0,197,Passing
Ryan Switzer,UNC,1,1,100,35,35,1,100,0,0,35t,0,0,724,Passing
Isaiah Ford,VT,1,1,100,30,30,0,0,0,0,30,0,0,352,Passing
Will Monday,DUKE,1,1,100,30,30,0,0,0,0,30,0,0,352,Passing
Tyler Boyd,PITT,1,1,100,29,29,0,0,0,0,29,0,0,343.6,Passing
Tommy Hibbard,UNC,1,1,100,29,29,1,100,0,0,29t,0,0,673.6,Passing
Brett Nelson,LOU,7,4,57.1,27,3.9,0,0,0,0,9,1,8,89.5,Passing
Jared Crump,WF,1,1,100,24,24,0,0,0,0,24,0,0,301.6,Passing
Quinshad Davis,UNC,1,1,100,23,23,1,100,0,0,23t,0,0,623.2,Passing
Darius Wade,BC,8,3,37.5,23,2.9,0,0,0,0,12,0,0,61.6,Passing
Bo Hines,NCST,3,1,33.3,20,6.7,0,0,0,0,20,0,0,89.3,Passing
Shadrach Thornton,NCST,1,1,100,18,18,1,100,0,0,18t,0,0,581.2,Passing
Brenden Motley,VT,3,1,33.3,17,5.7,0,0,0,0,17,1,1,80.9,Passing
B.J. Bostic,GT,1,1,100,15,15,0,0,0,0,15,0,0,226,Passing
Jamison Crowder,DUKE,1,1,100,12,12,1,100,0,0,12t,0,0,530.8,Passing
A.J. Hughes,VT,1,1,100,10,10,0,0,0,0,10,0,0,184,Passing
Garrett Leatham,NCST,6,1,16.7,8,1.3,0,0,1,16.7,8,0,0,-5.5,Passing
Parker Boehme,DUKE,2,1,50,5,2.5,0,0,0,0,5,0,0,71,Passing
Riley Dixon,SYR,1,1,100,1,1,1,100,0,0,1t,0,0,438.4,Passing
Darius Jennings,UVA,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Ryan Johnson,LOU,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Sam Rogers,VT,0,0,0,0,0,0,0,0,0,0,1,4,0,Passing
Kevin Sousa,WF,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Jarrod West,SYR,2,0,0,0,0,0,0,0,0,0,0,0,0,Passing
Ryan Williams,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,Passing
David Olson,CLEM,3,1,33.3,-1,-0.3,0,0,0,0,0,0,0,30.5,Passing
