Player,Team,Punts,Yds,Avg,Lg,TB,In20,Blk,Net,Ret,RYds,Stat Type
Brent Bowden,VT,57,"2,495",43.8,--,--,--,0,--,--,--,Punting
Matt Bosher,MIA,51,"2,169",42.5,--,--,--,0,--,--,--,Punting
Chandler Anderson,GT,37,"1,565",42.3,--,--,--,0,--,--,--,Punting
Shawn Powell,FSU,43,"1,790",41.6,--,--,--,0,--,--,--,Punting
Ryan Quigley,BC,77,"3,145",40.8,--,--,--,0,--,--,--,Punting
Grant Schallock,UNC,65,"2,621",40.3,--,--,--,0,--,--,--,Punting
Jimmy Howell,UVA,66,"2,647",40.1,--,--,--,0,--,--,--,Punting
Nick Ferrara,MD,35,"1,392",39.8,--,--,--,0,--,--,--,Punting
Kevin Jones,DUKE,54,"2,120",39.3,--,--,--,0,--,--,--,Punting
Dawson Zimmerman,CLEM,55,"2,153",39.1,--,--,--,0,--,--,--,Punting
Shane Popham,WF,54,"2,098",38.9,--,--,--,0,--,--,--,Punting
Jeff Ruiz,NCST,46,"1,743",37.9,--,--,--,0,--,--,--,Punting
